"p","outcome"
1.54201935685869e-07,0
0.112997364233277,0
0.999924931763401,0
1.61737696823296e-11,0
2.22044604925031e-16,0
1,0
3.65091756851107e-08,0
1.84182082232398e-13,0
2.22044604925031e-16,0
0.966262949313226,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.990436271640808,0
2.22044604925031e-16,0
0.999999999965562,0
2.22044604925031e-16,0
3.0952169223916e-08,0
2.22044604925031e-16,0
0.999998914714328,0
0.999783987356971,0
0.00673342365913619,0
0.0880195350718797,0
9.39291819754601e-05,0
4.98539585047398e-10,0
5.34319317064582e-06,0
2.22044604925031e-16,0
3.85810566853463e-05,0
2.22044604925031e-16,0
0.999999996937914,0
0.998938753317328,0
7.80076960691838e-06,0
2.22044604925031e-16,0
0.999999999991736,0
1.15370509238132e-06,0
0.999999980695226,0
2.22044604925031e-16,0
0.999999864348558,0
0.427286865629846,0
2.22044604925031e-16,0
0.268659317296245,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
