"p","outcome"
1.32522320686748e-13,0
3.7217629951704e-08,0
2.22044604925031e-16,0
1,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.875950744347529,0
8.56453235301331e-09,0
2.22044604925031e-16,0
9.41340093080672e-06,0
0.99786790949486,0
2.22044604925031e-16,0
2.22044604925031e-16,0
6.04781701433991e-09,0
1.17697306136789e-08,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.999637358434585,0
2.22044604925031e-16,0
0.999999998756578,0
9.79933183361871e-12,0
1.91481463654049e-13,0
0.999699064844593,0
2.22044604925031e-16,0
2.22044604925031e-16,0
5.91585847804299e-05,0
1.57989838959228e-12,0
2.22044604925031e-16,0
1,1
0.999476081245291,1
3.35149197231634e-07,1
1,1
1,1
0.966873052231319,1
0.997030038777189,1
1,1
1,1
0.999999618058566,1
0.999999992936303,1
1,1
2.34974672235576e-06,1
