"p","outcome"
0.999999754017587,1
0.999558710046382,1
0.999999999996324,1
0.999999989429741,1
0.975362662973798,1
0.999999999995563,1
1,1
1,1
0.999999999984564,1
0.937344560644819,1
0.200211404381499,1
0.9999999634845,1
0.0225443071330899,1
2.22044604925031e-16,1
0.0076908393227981,1
0.0129158920220384,1
0.0918661617043374,1
5.12650866523614e-10,1
0.999999974884828,1
0.45576710133554,1
2.22044604925031e-16,0
2.22044604925031e-16,1
0.999999999984623,1
0.0575364044713256,1
1,1
1,1
1,1
0.999999999999666,1
0.999999995287789,1
0.999999999999791,1
1.81815060710166e-09,1
0.000862526121706396,1
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
1,1
0.999999987957353,1
1,1
0.99993935381655,1
0.999999730039929,1
2.22044604925031e-16,0
1,1
1,1
0.999999999865637,1
0.999999999967892,1
2.22044604925031e-16,0
2.22044604925031e-16,0
0.999999999999697,1
0.999999999997997,1
0.999999999886089,1
0.999999999988286,1
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.999999951681261,1
0.999999372185817,1
1,1
1,1
0.999990172750554,1
1,1
8.73720166820426e-11,1
2.55141266708149e-07,1
0.999999999999493,1
0.00536444305485604,1
2.22044604925031e-16,0
0.99999999477621,1
0.999999287525788,1
2.22044604925031e-16,0
0.999923459379588,1
0.999768358628396,1
0.999999999999811,1
0.999999999788434,1
0.7566861938406,1
2.22044604925031e-16,0
0.999999999995777,1
2.22044604925031e-16,0
0.000277323134872723,1
2.22044604925031e-16,0
0.998000884852663,1
1,1
2.22044604925031e-16,0
2.22044604925031e-16,0
0.99991258472599,1
1,1
1,1
2.22044604925031e-16,0
0.999999999998419,1
0.786591857153976,1
0.411267780884033,1
2.22044604925031e-16,0
0.999977000451831,1
0.999678726767636,1
0.999999999941019,1
1,1
2.22044604925031e-16,1
2.22044604925031e-16,0
1,1
3.38650021468612e-05,1
1,1
0.999999999999757,1
0.734544935821997,1
0.991221447780288,1
1,1
0.999999999997983,1
0.999999994636918,1
1,1
2.22044604925031e-16,0
2.22044604925031e-16,0
0.999999724784587,1
2.22044604925031e-16,0
1.24949170485752e-07,0
2.22044604925031e-16,0
1,1
0.999999999993356,1
0.999999928315517,1
0.999116521621328,1
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.999999999997403,1
1,1
1,1
1,1
0.999999989811361,1
1,1
1,1
2.22044604925031e-16,0
0.999776059019926,1
0.999998482565315,1
0.999999999683037,1
1,1
3.36337370622881e-05,1
1,1
0.988140245729166,1
0.999998299657683,1
0.999564932868694,1
2.22044604925031e-16,0
1,1
0.999999999999702,1
1,1
1,1
0.0706050915532099,1
1,1
1,1
2.22044604925031e-16,0
0.99999999560883,1
0.999999999999197,1
1,1
0.999999999995409,1
0.999997455279458,1
2.22044604925031e-16,1
2.22044604925031e-16,0
0.999070789315312,1
0.999999998351186,1
2.22044604925031e-16,0
0.999999699753453,1
5.38598815898257e-09,1
0.999999877145674,1
0.999999959805191,1
0.0582894724634767,1
0.99999999997264,1
0.99999907663699,1
1,1
0.999999435661259,1
2.22044604925031e-16,0
2.22044604925031e-16,0
0.00165572919640463,1
1,1
2.22044604925031e-16,0
0.99999999576167,1
0.999999936250361,1
0.999999999551547,1
0.999999999969611,1
2.22044604925031e-16,0
1,0
0.999999999440061,1
1,1
0.999999999997858,1
1,1
1,1
2.22044604925031e-16,0
0.979846328263501,1
