"p","outcome"
0.999999993062465,0
6.15933132306857e-11,0
2.22044604925031e-16,0
1.36725383704562e-13,0
6.66267699427033e-07,0
7.49253637918235e-07,0
1.80227237032763e-09,0
0.0131673202431822,0
4.20206972307051e-10,0
4.36197299543372e-06,0
0.999999960045848,0
1.56083364782029e-05,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
5.48263496742821e-12,0
2.263114285671e-12,0
3.48880065004434e-13,0
2.22044604925031e-16,0
4.3199797603765e-11,0
7.92072736085795e-07,0
2.12527732444591e-06,0
3.63663206260282e-11,0
3.85304200577659e-11,0
0.993151363102123,0
6.77035420760667e-10,0
2.22044604925031e-16,0
2.22044604925031e-16,0
1,1
0.999995584717467,1
1,1
1,1
1,1
