TCGA-A7-A0CE-01A-11R-A00Z-07	TCGA-A7-A0CH-01A-21R-A00Z-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-A7-A0DB-01A-11R-A00Z-07	TCGA-A7-A13E-01A-11R-A12P-07	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13G-01A-11R-A13Q-07	TCGA-AC-A23H-01A-11R-A157-07	TCGA-AC-A2FB-01A-11R-A17B-07	TCGA-AC-A2FF-01A-11R-A17B-07	TCGA-AC-A2FM-01A-11R-A19W-07	TCGA-BH-A0AU-01A-11R-A12P-07	TCGA-BH-A0AY-01A-21R-A00Z-07	TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-BH-A0B3-01A-11R-A056-07	TCGA-BH-A0B5-01A-11R-A12P-07	TCGA-BH-A0B7-01A-12R-A115-07	TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-BH-A0BC-01A-22R-A084-07	TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-BH-A0BM-01A-11R-A056-07	TCGA-BH-A0BQ-01A-21R-A115-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-BH-A0BV-01A-11R-A00Z-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-BH-A0C0-01A-21R-A056-07	TCGA-BH-A0C3-01A-21R-A12P-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-BH-A0DH-01A-11R-A084-07	TCGA-BH-A0DK-01A-21R-A056-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-BH-A0DO-01B-11R-A12D-07	TCGA-BH-A0DP-01A-21R-A056-07	TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A0DT-01A-21R-A12D-07	TCGA-BH-A0DV-01A-21R-A12P-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-BH-A0E0-01A-11R-A056-07	TCGA-BH-A0E1-01A-11R-A056-07	TCGA-BH-A0H5-01A-21R-A115-07	TCGA-BH-A0H7-01A-13R-A056-07	TCGA-BH-A0H9-01A-11R-A056-07	TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0HK-01A-11R-A056-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A18K-01A-11R-A12D-07	TCGA-BH-A18L-01A-32R-A12D-07	TCGA-BH-A18M-01A-11R-A12D-07	TCGA-BH-A18N-01A-11R-A12D-07	TCGA-BH-A18P-01A-11R-A12D-07	TCGA-BH-A18Q-01A-12R-A12D-07	TCGA-BH-A18R-01A-11R-A12D-07	TCGA-BH-A18S-01A-11R-A12D-07	TCGA-BH-A18U-01A-21R-A12D-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-BH-A1EN-01A-11R-A13Q-07	TCGA-BH-A1EO-01A-11R-A137-07	TCGA-BH-A1ET-01A-11R-A137-07	TCGA-BH-A1EU-01A-11R-A137-07	TCGA-BH-A1EV-01A-11R-A137-07	TCGA-BH-A1EW-01A-11R-A137-07	TCGA-BH-A1F0-01A-11R-A137-07	TCGA-BH-A1F2-01A-31R-A13Q-07	TCGA-BH-A1F6-01A-11R-A13Q-07	TCGA-BH-A1F8-01A-11R-A13Q-07	TCGA-BH-A1FB-01A-11R-A13Q-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-BH-A1FD-01A-11R-A13Q-07	TCGA-BH-A1FE-01A-11R-A13Q-07	TCGA-BH-A1FG-01A-11R-A13Q-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-BH-A1FJ-01A-11R-A13Q-07	TCGA-BH-A1FM-01A-11R-A13Q-07	TCGA-BH-A1FN-01A-11R-A13Q-07	TCGA-BH-A1FR-01A-11R-A13Q-07	TCGA-BH-A1FU-01A-11R-A14D-07	TCGA-BH-A203-01A-12R-A169-07	TCGA-BH-A204-01A-11R-A157-07	TCGA-BH-A208-01A-11R-A157-07	TCGA-BH-A209-01A-11R-A157-07	TCGA-E2-A153-01A-12R-A12D-07	TCGA-E2-A158-01A-11R-A12D-07	TCGA-E2-A15I-01A-21R-A137-07	TCGA-E2-A15K-01A-11R-A12P-07	TCGA-E2-A15M-01A-11R-A12D-07	TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-E2-A1IG-01A-11R-A144-07	TCGA-E2-A1L7-01A-11R-A144-07	TCGA-E2-A1LB-01A-11R-A144-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-E2-A1LS-01A-12R-A157-07	TCGA-E9-A1N4-01A-11R-A14M-07	TCGA-E9-A1N5-01A-11R-A14D-07	TCGA-E9-A1N6-01A-11R-A144-07	TCGA-E9-A1N9-01A-11R-A14D-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-E9-A1ND-01A-11R-A144-07	TCGA-E9-A1NF-01A-11R-A14D-07	TCGA-E9-A1NG-01A-21R-A14M-07	TCGA-E9-A1R7-01A-11R-A14M-07	TCGA-E9-A1RB-01A-11R-A157-07	TCGA-E9-A1RC-01A-11R-A157-07	TCGA-E9-A1RD-01A-11R-A157-07	TCGA-E9-A1RF-01A-11R-A157-07	TCGA-E9-A1RH-01A-21R-A169-07	TCGA-E9-A1RI-01A-11R-A169-07	TCGA-GI-A2C8-01A-11R-A16F-07	TCGA-GI-A2C9-01A-11R-A21T-07	TCGA-A7-A0CE-11A-21R-A089-07	TCGA-A7-A0CH-11A-32R-A089-07	TCGA-A7-A0D9-11A-53R-A089-07	TCGA-A7-A0DB-11A-33R-A089-07	TCGA-A7-A13E-11A-61R-A12P-07	TCGA-A7-A13F-11A-42R-A12P-07	TCGA-A7-A13G-11A-51R-A13Q-07	TCGA-AC-A23H-11A-12R-A157-07	TCGA-AC-A2FB-11A-13R-A17B-07	TCGA-AC-A2FF-11A-13R-A17B-07	TCGA-AC-A2FM-11B-32R-A19W-07	TCGA-BH-A0AU-11A-11R-A12P-07	TCGA-BH-A0AY-11A-23R-A089-07	TCGA-BH-A0AZ-11A-22R-A12P-07	TCGA-BH-A0B3-11B-21R-A089-07	TCGA-BH-A0B5-11A-23R-A12P-07	TCGA-BH-A0B7-11A-34R-A115-07	TCGA-BH-A0B8-11A-41R-A089-07	TCGA-BH-A0BA-11A-22R-A19E-07	TCGA-BH-A0BC-11A-22R-A089-07	TCGA-BH-A0BJ-11A-23R-A089-07	TCGA-BH-A0BM-11A-12R-A089-07	TCGA-BH-A0BQ-11A-33R-A115-07	TCGA-BH-A0BS-11A-11R-A12P-07	TCGA-BH-A0BT-11A-21R-A12P-07	TCGA-BH-A0BV-11A-31R-A089-07	TCGA-BH-A0BW-11A-12R-A115-07	TCGA-BH-A0BZ-11A-61R-A12P-07	TCGA-BH-A0C0-11A-21R-A089-07	TCGA-BH-A0C3-11A-23R-A12P-07	TCGA-BH-A0DD-11A-23R-A12P-07	TCGA-BH-A0DG-11A-43R-A12P-07	TCGA-BH-A0DH-11A-31R-A089-07	TCGA-BH-A0DK-11A-13R-A089-07	TCGA-BH-A0DL-11A-13R-A115-07	TCGA-BH-A0DO-11A-22R-A12D-07	TCGA-BH-A0DP-11A-12R-A089-07	TCGA-BH-A0DQ-11A-12R-A089-07	TCGA-BH-A0DT-11A-12R-A12D-07	TCGA-BH-A0DV-11A-22R-A12P-07	TCGA-BH-A0DZ-11A-22R-A089-07	TCGA-BH-A0E0-11A-13R-A089-07	TCGA-BH-A0E1-11A-13R-A089-07	TCGA-BH-A0H5-11A-62R-A115-07	TCGA-BH-A0H7-11A-13R-A089-07	TCGA-BH-A0H9-11A-22R-A466-07	TCGA-BH-A0HA-11A-31R-A12P-07	TCGA-BH-A0HK-11A-11R-A089-07	TCGA-BH-A18J-11A-31R-A12D-07	TCGA-BH-A18K-11A-13R-A12D-07	TCGA-BH-A18L-11A-42R-A12D-07	TCGA-BH-A18M-11A-33R-A12D-07	TCGA-BH-A18N-11A-43R-A12D-07	TCGA-BH-A18P-11A-43R-A12D-07	TCGA-BH-A18Q-11A-34R-A12D-07	TCGA-BH-A18R-11A-42R-A12D-07	TCGA-BH-A18S-11A-43R-A12D-07	TCGA-BH-A18U-11A-23R-A12D-07	TCGA-BH-A18V-11A-52R-A12D-07	TCGA-BH-A1EN-11A-23R-A13Q-07	TCGA-BH-A1EO-11A-31R-A137-07	TCGA-BH-A1ET-11B-23R-A137-07	TCGA-BH-A1EU-11A-23R-A137-07	TCGA-BH-A1EV-11A-24R-A137-07	TCGA-BH-A1EW-11B-33R-A137-07	TCGA-BH-A1F0-11B-23R-A137-07	TCGA-BH-A1F2-11A-32R-A13Q-07	TCGA-BH-A1F6-11B-94R-A13Q-07	TCGA-BH-A1F8-11B-21R-A13Q-07	TCGA-BH-A1FB-11A-33R-A13Q-07	TCGA-BH-A1FC-11A-32R-A13Q-07	TCGA-BH-A1FD-11B-21R-A13Q-07	TCGA-BH-A1FE-11B-14R-A13Q-07	TCGA-BH-A1FG-11B-12R-A13Q-07	TCGA-BH-A1FH-11B-42R-A13Q-07	TCGA-BH-A1FJ-11B-42R-A13Q-07	TCGA-BH-A1FM-11B-23R-A13Q-07	TCGA-BH-A1FN-11A-34R-A13Q-07	TCGA-BH-A1FR-11B-42R-A13Q-07	TCGA-BH-A1FU-11A-23R-A14D-07	TCGA-BH-A203-11A-42R-A169-07	TCGA-BH-A204-11A-53R-A157-07	TCGA-BH-A208-11A-51R-A157-07	TCGA-BH-A209-11A-42R-A157-07	TCGA-E2-A153-11A-31R-A12D-07	TCGA-E2-A158-11A-22R-A12D-07	TCGA-E2-A15I-11A-32R-A137-07	TCGA-E2-A15K-11A-13R-A12P-07	TCGA-E2-A15M-11A-22R-A12D-07	TCGA-E2-A1BC-11A-32R-A12P-07	TCGA-E2-A1IG-11A-22R-A144-07	TCGA-E2-A1L7-11A-33R-A144-07	TCGA-E2-A1LB-11A-22R-A144-07	TCGA-E2-A1LH-11A-22R-A14D-07	TCGA-E2-A1LS-11A-32R-A157-07	TCGA-E9-A1N4-11A-33R-A14M-07	TCGA-E9-A1N5-11A-41R-A14D-07	TCGA-E9-A1N6-11A-32R-A144-07	TCGA-E9-A1N9-11A-71R-A14D-07	TCGA-E9-A1NA-11A-33R-A144-07	TCGA-E9-A1ND-11A-43R-A144-07	TCGA-E9-A1NF-11A-73R-A14D-07	TCGA-E9-A1NG-11A-52R-A14M-07	TCGA-E9-A1R7-11A-42R-A14M-07	TCGA-E9-A1RB-11A-33R-A157-07	TCGA-E9-A1RC-11A-33R-A157-07	TCGA-E9-A1RD-11A-33R-A157-07	TCGA-E9-A1RF-11A-32R-A157-07	TCGA-E9-A1RH-11A-34R-A169-07	TCGA-E9-A1RI-11A-41R-A169-07	TCGA-GI-A2C8-11A-22R-A16F-07	TCGA-GI-A2C9-11A-22R-A21T-07
outcome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A2ML1	5.29904318589717	4.66130467288079	5.72596143633226	4.54707668639774	12.1483932588237	4.05183143493836	4.54670001103346	6.10236826001666	4.05183143493836	5.05899717053861	4.05183143493836	4.05183143493836	6.09692682710251	4.55130927279674	9.22493998025795	5.02181404384488	4.7465596875133	6.3319560310687	5.35333916727105	4.54873625897518	4.05183143493836	5.20035064928159	4.97300170126316	4.94114259807676	4.56004683171844	4.05183143493836	9.45760878005086	5.21994097798181	6.43162254981358	4.54629724359497	4.05183143493836	4.83493864971931	4.05183143493836	6.39624398894282	12.7084409280827	4.40512600330896	4.40421278719212	4.05183143493836	4.05183143493836	4.05183143493836	4.89268695975691	7.99625381035002	4.05183143493836	4.54765463843645	5.48797658560379	4.76513952682928	4.05183143493836	7.64476211786958	7.6990985355867	5.60511483122206	4.78921935734942	4.65212275701246	4.05183143493836	4.55910470889348	7.19062369377765	5.75000727062152	4.40745886621606	4.54965510262449	8.94418851534187	4.05183143493836	5.16105484149498	4.05183143493836	4.53493805782952	7.47316719888898	4.66292583368823	4.74978297344511	8.97129193172156	11.642365436671	7.43956009562996	4.53387099118215	6.29584119109329	4.76460187559561	5.38988861649791	4.76855155003809	4.54040708782256	4.54682587289168	5.19485024874277	4.55486680839713	4.40195983816242	7.73802676027289	4.66051577000784	4.57378653175088	11.1651787254421	5.42065436965674	4.55412227660845	11.6024226611883	4.40324956281237	4.05183143493836	9.92697973288472	4.05183143493836	4.05183143493836	4.05183143493836	4.57195693349972	11.7350925896412	7.02746023643669	4.40491694544269	4.65543974694981	5.75483692044398	7.75022688354886	4.91114360614449	11.996931554137	6.1885685597036	5.9873654623158	6.54066824943777	5.80199885987848	5.14180903721759	4.05183143493836	4.54373455118544	7.76284491933664	4.39588997916534	4.6660003973114	9.60295180383787	5.39317032285169	5.5355247651892	5.7188657729618	5.19118009109735	4.77152925596581	5.14257580243908	4.56728586541184	5.93724450982792	5.1858574297013	5.40602733062685	4.54078071889789	4.39248732617317	5.78240264111318	5.44207920185995	5.57624208187818	4.42811469764752	5.00283354718805	5.13032705305201	5.24458904791231	5.96030064971405	4.95017724818408	6.37829976126177	6.01913766485271	5.99635568028579	4.53791711445915	5.25501778315701	8.19348291583545	5.03553053308669	5.33091684479503	4.64439563709862	4.93604390281568	4.80648748891524	5.9858306526768	5.1410822948205	6.02841971362786	5.15835433851518	5.22706332288662	4.93993041357112	4.53826789023962	4.73629852310905	5.70646242530804	5.92745207944982	5.35690225966263	5.09970240094453	5.66459940440301	4.79900497053408	4.80738213589775	5.53816766247538	5.56858935992158	4.89269816495837	4.7515993845558	4.95766354962447	4.88769936702812	4.6653001605928	6.36205989071575	4.81304257649974	5.03852155527915	5.58113137303578	4.05183143493836	4.83476162969417	4.55788901296095	4.88033739431498	5.07307661400313	7.00184058507863	5.20475383207782	4.54170525019594	4.96104521720723	5.82189506951551	5.68056206121995	4.87989039492863	4.54354844906727	4.74894226154331	4.99368422070869	5.17521433013602	6.27288455541837	4.64260425511306	6.17686020094157	4.8103040655292	4.64302296928501	5.00181019496194	5.45700086493138	4.56520726064789	5.11277738144469	5.01445674146498	5.07208518518045	8.20490355498536	5.05616688389992	5.17755388402457	4.85156922348997	4.42599601934656	4.9901239050754	5.65726445675607	4.81521679053426	5.25772354153037	4.77953900360475	4.94021657828461	4.95944385134336	5.13085999828347	5.36954028976926	4.7500599598829	4.73349931664603	4.7849516723731	4.7730538911615	4.91776001065744	5.13249244421077	4.6767500320348	4.55428452443935	4.56816053984026	4.85315477435421	5.0061530613562	4.45583373129263	5.22346699823332
AADACL3	4.40771560617217	4.05183143493836	4.05183143493836	4.40287800654438	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.40406009882731	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.40127081384695	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.73192919688165	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.39858212217076	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.7974344831749	5.96004693027368	4.93746880403151	4.57188806216716	6.56253269878283	6.58360902688053	4.56728586541184	4.05183143493836	4.545514799602	4.05183143493836	4.05183143493836	4.05183143493836	4.97114991054739	4.05183143493836	4.05183143493836	4.79818221843835	4.05183143493836	4.56938072486162	4.05183143493836	4.96690419872757	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.64258430373501	4.05183143493836	5.81602780245408	4.05183143493836	4.05183143493836	5.33146270365157	4.05183143493836	4.64060966912145	4.05183143493836	4.80755978883751	4.53307034267435	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.38975636573287	4.05183143493836	4.70067631956589	4.05183143493836	4.05183143493836	4.05183143493836	4.54184810872476	5.2876291005737	4.95766354962447	5.01270635284708	4.40778866594832	4.39080640898374	4.05183143493836	6.20555240056934	5.02216070051702	4.05183143493836	4.55061087776998	4.41058051936765	4.53451533405296	4.81991175087717	4.05183143493836	4.87761841098234	4.05183143493836	4.40034924654162	5.16438761891617	4.89795906422687	4.05183143493836	5.1815168003294	4.40292067065182	4.05183143493836	4.56431357784466	4.05183143493836	4.73244412279959	4.05183143493836	4.05183143493836	4.39474143730194	4.05183143493836	4.64426371245771	4.41579530852041	4.05183143493836	4.88923522137096	4.05183143493836	4.67363665879048	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.67218118366791	4.05183143493836	4.05183143493836	4.05183143493836	4.41856657095614	4.05183143493836	4.05183143493836	4.54333364342588	4.05183143493836	4.83062531188195	4.05183143493836	4.42133750028484	4.7730538911615	5.21058458961987	4.40076088224477	4.56338954999813	5.15403564526089	4.93697195547846	4.56250246421469	4.77874164715843	4.05183143493836	4.39858964710796
AADAC	4.05183143493836	4.05183143493836	4.97254027595086	5.1893038417283	4.05183143493836	4.05183143493836	4.40260971344299	4.41224956971404	4.05183143493836	4.943934518409	4.05183143493836	4.65792178090109	5.0635661672795	4.40589293659838	4.98107171552492	4.40041940603578	4.7465596875133	5.3565570083297	5.35333916727105	4.05183143493836	4.40227555727908	4.7558429139641	4.05183143493836	4.05183143493836	4.56004683171844	4.05183143493836	4.40740573698439	4.41278708274284	5.43263962687153	6.74599824543602	4.05183143493836	4.55072526912779	4.05183143493836	5.46023301852518	4.66654233350346	4.05183143493836	4.40421278719212	4.05183143493836	4.54507975770365	4.05183143493836	4.80598975336115	5.64364265301608	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	4.40105724882868	6.02619636368116	4.05183143493836	4.398386977092	4.05183143493836	4.74336004651158	4.05183143493836	4.05183143493836	4.54776249199273	4.05183143493836	4.40745886621606	4.40471460394043	4.67714223306924	4.43453193970253	4.84558361240907	4.05183143493836	6.21981019773613	4.6630742572739	4.66292583368823	4.54773959660722	5.84609812304427	4.05183143493836	4.05183143493836	4.39347377281056	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	5.31037878652593	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	6.12773484873729	5.56483459220239	4.05183143493836	6.71790891941782	4.40612716556777	4.05183143493836	4.05183143493836	4.05183143493836	4.05183143493836	5.72825655267024	5.95973222830802	4.05183143493836	4.40230757434055	5.38723251746153	4.85502127381385	4.8731578165173	4.05183143493836	4.40201197187822	4.41162180576187	4.05183143493836	4.40695577729342	5.43967653622245	4.54224632544341	4.05183143493836	4.5751589339022	4.66698690859569	4.05183143493836	4.05183143493836	4.05183143493836	6.05091525280324	4.05183143493836	4.05183143493836	4.05183143493836	5.49833327569726	7.00743511363697	9.44725202603845	8.77398746766407	6.28736443324336	7.89954672346615	8.95695537935472	7.92447068998066	6.87173393351957	4.39167694946677	5.39263881814906	4.6391719007275	5.83845692901075	5.9307012261479	5.83170455776042	9.65785414636047	4.05183143493836	7.89509820343859	4.55027708698944	6.42889274527754	6.02215591747674	4.65711253335358	4.8335456883148	4.39544991057272	4.53791711445915	6.25885996565129	5.45124172644727	7.53102772814465	4.39222319984446	5.06449498609211	8.29969251922068	4.05183143493836	5.11036003200668	5.88888372862678	6.09277160171359	5.1090924310687	4.39970675491469	4.39203764312458	5.38614050682356	4.39646373721185	5.07814523331161	5.60451904900509	4.05183143493836	4.63450524329626	4.88906619371213	7.66102006488977	4.05183143493836	5.64127561663961	7.9480968112344	5.70131872996302	8.77940003475507	5.81433086933625	5.49875203620909	4.55397037265003	5.36504432802108	5.34219240183442	5.73343866286377	4.65294015700499	6.97466091062021	7.84039582860339	9.54729397972474	6.23715558057997	7.40257080415705	5.10096238785681	5.05664054984168	4.39905239077121	7.59394041874759	6.41838215189639	6.50463166923204	4.94426799361214	4.96108539586491	4.40292067065182	6.40691128875514	4.05183143493836	8.12256995241049	4.94618057717064	5.34857988080058	4.53481656658137	6.76525178114035	4.39300493701059	5.00845900465076	8.99782427230878	5.00487423575698	4.3976907502612	6.33407280077647	8.44461076070198	7.05041867317504	4.54175397161339	7.60646086159874	7.86294014669301	6.70364251378787	4.73518537765424	4.05183143493836	4.73401030299471	7.69680619392446	4.05183143493836	4.39971834168182	5.07776073206879	8.80306272961523	4.65796597151779	8.68840325058323	9.86939179263199	8.24872214233452	6.50265490289686	7.58948408366725	8.42726928116777	8.8529033663769	8.933313709988	8.50018701662638	9.41842519089495	4.05183143493836	4.39858964710796
ABCA10	4.55386782000518	4.66130467288079	5.41614622343674	5.74702594971025	4.05183143493836	4.56937869376531	4.96678086326591	4.05183143493836	5.49170169618404	8.15332880555347	5.73317173459428	5.5236982378298	5.37134981473898	6.15963855945444	4.66608220966809	6.08848138984289	5.79898107380948	5.3565570083297	6.60558504123908	4.65893628264895	5.324619003351	6.22522622414379	5.29023547931941	4.94114259807676	4.99087443896368	4.55493336822238	5.15223511761536	4.56098581959723	5.04611186463055	7.64391577664853	4.76459991631099	6.31836036942885	4.6789226921818	5.09490651928505	4.66654233350346	6.44268176239965	5.14275387084478	5.64896708716615	6.36982476545449	6.19615637186148	4.43211673427162	4.95384222596103	4.67555328140324	6.51557642543599	4.41375886393218	4.76513952682928	5.02353311148718	5.5367328311348	4.54888414867393	5.60511483122206	4.69213379575598	6.32617640897697	4.98509961518789	4.84790121146779	7.53194221667121	6.32603629450406	4.83924352232369	4.66005352375564	4.67714223306924	4.59148815863177	5.43601058559347	6.37314926105821	7.8396915065029	4.40648439126818	5.46076505702182	6.36230971761881	5.66191346135778	4.85008590839785	5.08498842889217	6.92536992191615	4.416100543629	4.41092464043315	6.63426906862617	4.99296655413954	7.73057109977936	4.05183143493836	4.42179924672526	4.55486680839713	5.13605788100577	5.75130978677476	5.49318353284334	4.42191013007846	6.22374312398468	4.75521751236621	4.9801848274788	4.90328135924138	6.24854934131438	4.55263963223838	6.98072819034705	6.41639535942996	5.09685729818401	5.02690206621715	4.86776519546571	5.27526921119827	7.26654728799335	5.19561690476762	5.62000908381177	4.41162180576187	5.54324034674307	4.05183143493836	4.67145415890008	4.54224632544341	4.74953093237866	5.39499208798901	4.55535780707291	4.40389478494419	5.60802751458595	5.13170936866201	4.57356343249091	6.45701168192885	5.64534748498924	5.07355153491607	7.49350499882898	8.05353770669299	8.20207118291073	8.57785221168503	8.31189382011811	9.12549514786631	9.81294094600218	9.04514410531481	8.24268433736933	7.97802065213122	7.45825338576736	7.95181447721906	9.20929597739817	8.93921859442859	8.43155763361046	7.97844216235871	8.27890106767627	8.68343103185315	8.57123442158971	7.39691439998889	8.09352447633052	5.804753410412	7.82370128984966	7.42984989898255	7.4677438066435	7.82358735811375	7.83171587914293	8.74898185988938	8.26131499297813	8.6890686748136	8.7480653989266	8.57226625797099	7.48501511256636	7.52609700960042	9.23284565972847	8.82795554962308	7.05360056746432	7.31567547947346	8.05668706982156	7.53714665624401	6.4662171648356	6.32307371934291	7.05267732375461	8.2025481791202	7.12285598008549	7.12132908311779	7.67250722010487	8.23504164165222	8.7952928088892	8.70035483065325	8.79242400384481	8.5949477810941	8.66037320515364	7.99053266852106	9.56184248195109	9.56904083798933	7.86171958979395	8.9287597957991	8.14995439996189	8.84563796211846	7.92696512500083	9.1560782739548	9.39836898013061	8.83562330684118	9.24315863213205	8.1307346992302	9.1950305910143	9.72252131500028	8.9806637432525	8.8551683008967	8.81015055010868	7.79081884971969	9.15491756036131	8.92870523177839	8.64483025468042	9.27673408305417	9.37725056489601	8.23602348858119	8.7788406091793	8.44022509117379	8.85701133794332	8.95831504401763	8.53923692065575	9.02540147024512	8.66259779205862	8.93496314781146	9.52702144406463	8.17033855316528	8.43493938473338	8.5535232166256	8.7450161766117	7.09124925743313	7.41231031850496	6.68971746565945	8.73772105378429	7.78834985334544	7.08538394294244	8.63621868490616	9.08649791595577	7.28713980931445	8.50172249658342	9.03594048434404	8.48059164128734	8.99077371996815	8.84724292173463	8.29766584845207	9.17064198199747	9.29837151840908	9.13940317987519	9.00337358938274	7.02852865261681	9.25127185083116
