"","x"
"COL10A1",0.662794992866193
"COL11A1",0.543009082445452
"MMP11",0.51708219949816
"LOC728264",0.457159740797121
"FIGF",0.446074089912672
"GJB2",0.443833280024541
"INHBA",0.429636098205024
"CD300LG",0.428858318456746
"IGFBP6",0.426305674817813
"PAMR1",0.424595570741615
"CXCL2",0.415258713457267
"FXYD1",0.413272452185646
"SCARA5",0.399444862459329
"ITIH5",0.397996607421844
"LRRC15",0.395778960917991
"CA4",0.378760515626038
"MYH11",0.377235611077624
"C2orf40",0.371732511738236
"BTNL9",0.371695638139657
"MMP13",0.364439961739126
"ANLN",0.357544927937973
"ABCA10",0.353492787889169
"TNXB",0.352847300267758
"SDPR",0.352556872241936
"ATOH8",0.34943323133312
"EXO1",0.347897321224908
"FABP4",0.337654543055455
"ANGPTL7",0.335550045582891
"GPD1",0.333506177187183
"MYOC",0.331496043420508
"SCN4A",0.331260397055529
"TMEM132C",0.32878926864804
"ABCA9",0.327701729391701
"MELK",0.325978501001236
"PPAPDC1A",0.32553995617178
"COMP",0.324024300130171
"PITX1",0.323055597047896
"TSLP",0.323054684395914
"KCNIP2",0.322621468891896
"FAM83D",0.322319873941414
"BUB1",0.319836254443903
"HSPB6",0.318949978311869
"DEPDC1",0.317320773111822
"ASPM",0.316752116360242
"CENPF",0.315272431579265
"KIF20A",0.31511183872004
"S100P",0.314923206165714
"VIT",0.312804315260153
"LYVE1",0.312607191523799
"C14orf180",0.312123399091121
"MYOM1",0.311699653585406
"LRRC3B",0.311486149727889
"PLIN4",0.311404190846651
"TPX2",0.311079796289253
"EGFR",0.309947975954646
"RRM2",0.309267203856196
"MYBL2",0.308370981239295
"HSD17B6",0.307333891031732
"SMYD1",0.307068826773786
"CST1",0.306948609458223
"ATP1A2",0.305452710795405
"UBE2C",0.305193245428922
"CIDEC",0.30408176269245
"CA3",0.303120037560845
"AQP7P1",0.303001943909237
"PI16",0.301763933256476
"LIPE",0.301273339952954
"GLYAT",0.296118384926599
"MMP1",0.295962459339599
"SAA2",0.295080703629812
"PLK1",0.291006234817434
"GDF10",0.290800420396598
"GRIA4",0.290576219216684
"FHL1",0.289649220318102
"IQGAP3",0.287496821504157
"MYEOV",0.287083056791428
"NPR1",0.287037608805351
"KIAA1199",0.28603115166849
"RDH5",0.284142716828013
"WISP1",0.283739704487563
"NEK2",0.283129625017098
"RERGL",0.282430532865205
"KIF4A",0.282274831414092
"PPP2R2C",0.282008650301568
"NUF2",0.28177200672068
"CLDN19",0.280547115782109
"DPP6",0.279610211015576
"SORBS1",0.279144083757141
"TNMD",0.277409226314048
"HEPN1",0.276351924506028
"KIF2C",0.274562420705802
"LRRN4CL",0.27423932711393
"CEP55",0.271589566705873
"CDC20",0.269707657672027
"ADH1B",0.269024303107225
"KIF14",0.268928491941606
"DACT2",0.268920689462153
"CHRDL1",0.268232434121059
"GPIHBP1",0.266655044978248
"ACADL",0.266482560139539
"CLEC3B",0.265190615426094
"GLRA4",0.264779243922248
"STAB2",0.264759160696686
"ADH4",0.264146153576541
"TUSC5",0.260803478904507
"ALDH1L1",0.260462178754282
"PLIN1",0.260016476048753
"CLCA4",0.258666940772351
"NKAIN1",0.258421754385737
"PLAC9",0.257810823865435
"AQP7",0.257659271286892
"LEP",0.255876207894786
"HEPACAM",0.255490091714409
"ABCA8",0.254819063404673
"CEACAM5",0.254705698198206
"CILP2",0.254205627230326
"CDO1",0.253963193437416
"FAM196B",0.253673003493233
"CIDEA",0.253302472120221
"PKHD1L1",0.252624984140583
"PYGM",0.251035949847334
"HIF3A",0.250955683565065
"NPY2R",0.250181012460822
"CES1",0.248454342758501
"SLC2A4",0.248097289967533
"KCNJ16",0.247827510296472
"MRAP",0.245948813774685
"TOP2A",0.245776813053472
"IBSP",0.244938443957362
"HAPLN1",0.244614451695332
"CXCL10",0.244387463457371
"NNAT",0.244123247839503
"FOSB",0.241650860950483
"ADH1A",0.240845896710109
"DTL",0.240517607054587
"CNN1",0.240097793494322
"CENPA",0.239179392130031
"OR2B6",0.238450703830398
"KIAA0101",0.238150306229651
"AOC3",0.237548104608677
"LOC283867",0.237464224537098
"HIST1H2AM",0.237267658062451
"CD36",0.236381294361785
"AIM1L",0.236347746747994
"TDO2",0.23619644235521
"G0S2",0.236047485112061
"LOC283392",0.23585830652739
"E2F8",0.23516274346326
"GABRD",0.234673945375454
"UHRF1",0.233551339016513
"GMPS",0.233532732985611
"LPL",0.232912438882441
"PKMYT1",0.232719022053084
"PLAC1",0.23162263264083
"NUSAP1",0.231052711374142
"CCL11",0.229897221152039
"FOXM1",0.228445547948661
"CPA1",0.227089518101723
"KIT",0.227079913145218
"SGK2",0.226830556713321
"FGF9",0.226308011922135
"FGFR1",0.226157236452935
"KRAS",0.22568948443109
"RFX5",0.225612993028892
"DLGAP5",0.22526985587591
"HMMR",0.223378244139501
"DLL1",0.223056641972463
"NEIL3",0.221362007343261
"HSD17B13",0.220425710595046
"C3orf50",0.219635633279557
"OXTR",0.218294041912985
"KLF15",0.217849431405228
"TROAP",0.217755217377981
"RAB6B",0.217579194315339
"KIAA0408",0.217217360758571
"FGF2",0.216826099390372
"PDK4",0.216511672908519
"ACACB",0.21583223526577
"WT1",0.215775093297614
"LOC572558",0.215678071737503
"KLKP1",0.214625264484076
"NDC80",0.213440239405165
"KLHL31",0.212244579250026
"HS3ST4",0.212052327728818
"DLK1",0.212049298546458
"NAT1",0.21180251812212
"CLEC5A",0.21164920893279
"MASP1",0.211102117743134
"CFD",0.210728581324828
"PRC1",0.209172911743021
"EPR1",0.208336937405213
"B3GALT1",0.207568081297692
"ITGA7",0.207343363077688
"EBF1",0.206560698568577
"ACVR1C",0.206380045088847
"TNNT1",0.20637123103105
"EGR1",0.206304849400981
"ADIPOQ",0.20602923741177
"TAL1",0.205520416096249
"GFAP",0.205428749678381
"FGF17",0.205101516884927
"CST4",0.205081791025629
"GPAM",0.204919144065472
"TRPM3",0.204380349123642
"CST2",0.202711426720088
"ECT2",0.202623082524776
"MLXIPL",0.201486371441051
"TIMP4",0.200434350657118
"LOC388387",0.199891406709039
"IL17B",0.199410092634726
"HBB",0.198722620380499
"PAPPA2",0.195983417274107
"GPR144",0.195900049288795
"RAD51",0.195823491536021
"CKAP2L",0.195657369069865
"FOXA1",0.195387752658595
"CNIH2",0.194732282984117
"SLC24A2",0.193065091376561
"ACSM2A",0.192868742207705
"RAD54L",0.192746085453619
"ASPA",0.191520624456353
"PBK",0.191216002486823
"HIST1H2BO",0.189945736709217
"TFR2",0.189266476636919
"C12orf39",0.188925941179561
"HHATL",0.188625487024496
"PCOLCE2",0.188579704327472
"CNTNAP2",0.188171735153315
"C2orf54",0.187638080923972
"MESTIT1",0.187358657170901
"CLEC4GP1",0.186616869033957
"DIAPH3",0.186395948391145
"RBP4",0.185133272000789
"P2RX6",0.184826030531973
"ORC6L",0.184823717570687
"PIK3R1",0.183861862152954
"RET",0.18372941060251
"HTR1D",0.183510039203127
"JUN",0.183370591616948
"ADRA1A",0.182848333033774
"ELANE",0.182474527413446
"CCNE2",0.181668498722007
"SLC19A3",0.181251516633265
"PPARGC1A",0.1795451915208
"CASP14",0.179135474136219
"TCF7L2",0.178964336643272
"MMP9",0.178411850846048
"EPYC",0.178330820985664
"PPP1R1A",0.178014835013385
"NEURL",0.177833588803805
"RHOXF1",0.176952308710638
"AQPEP",0.176596026154059
"HCN2",0.175384322636608
"MAP1LC3C",0.17524026906678
"ESM1",0.174875414504101
"FGF1",0.174790183558793
"DQX1",0.174789318533236
"PRAME",0.174588509741637
"ACSM5",0.174011780601507
"DPT",0.17359190323264
"WBSCR28",0.172113932905957
"HSPB7",0.171913271410944
"PENK",0.170996237158387
"APOB",0.170871087203984
"CAPN9",0.170469759308134
"HJURP",0.170145336886575
"FGFBP2",0.169523560200508
"BMPR1B",0.169396283179379
"PGA3",0.169211527096966
"CYP2B7P1",0.167368552672023
"LALBA",0.166829052489815
"CXCL11",0.166620478543504
"RIMS4",0.166404846773682
"GATA3",0.16596654215501
"PDE1C",0.165956003402047
"KCNH1",0.165876948147966
"RFC4",0.165323607850455
"LOC647309",0.165220364560102
"TCF7L1",0.16508244559107
"AXIN2",0.163971281557299
"S100A7",0.163831790555413
"HPSE2",0.163424549942222
"ENTHD1",0.16292792068759
"PROL1",0.161826838189556
"GRM4",0.161721750550075
"DEFB132",0.161577960539484
"FGF10",0.161372852779113
"S100A7A",0.160775765950779
"WIF1",0.16034587421854
"XRCC2",0.159333880217505
"PAK7",0.158655817614176
"KCNE1",0.158321102403792
"KY",0.156386933166238
"JAG2",0.155892240666429
"LEF1",0.155397832434166
"CHRNA6",0.153349840168626
"SCT",0.152880221928099
"KIF18B",0.152766954663504
"PCK1",0.15271536739567
"FEZF2",0.152383480232469
"MAFF",0.1519600697554
"ABCD2",0.151442120904686
"LPPR5",0.151327425732317
"SKA1",0.151212346015905
"TRDN",0.151167914836165
"KIF1A",0.150994102025854
"WNT5B",0.150838797174186
"HBA1",0.150375973748849
"HIST1H3H",0.149811318084465
"SLCO1A2",0.149341475016752
"ABCB5",0.148591564664034
"NR3C1",0.148281364537247
"AQP7P3",0.148116587379128
"CDC25C",0.147609687509513
"MSLN",0.146371501704983
"DIO1",0.146148082262393
"SGOL1",0.145838182175009
"BAK1",0.144895250107342
"CSF3",0.144888207985941
"FZD4",0.144876686158513
"HPD",0.144701691120209
"TFAP2C",0.144619870272047
"FOS",0.144338193297706
"KLB",0.144189803537195
"GPX3",0.144182688404985
