"","RF_Gini"
"A2ML1","0.00051644632784645"
"AADACL3","0.00103183920510545"
"AADAC","0.00200698547330465"
"ABCA10","0.356953808860101"
"ABCA8","0.00389666438728691"
"ABCA9","0.0729465417338682"
"ABCB5","0.0150463837816771"
"ABCC13","0.000515447398779048"
"ABCD2","0.00764339689671147"
"ACACB","0.0333236611817097"
"ACADL","0.00946114386204837"
"ACSM2A","0.00215292946764077"
"ACSM5","0.0115869402457294"
"ACTL8","0.000969215373596107"
"ACVR1C","0.00148922695789514"
"ADH1A","0.00201288202797623"
"ADH1B","0.00145483075123628"
"ADH4","0.00542501833155456"
"ADIPOQ","0.000351623031725242"
"ADRA1A","0.0428451466707776"
"AIM1L","0.0471610917667238"
"ALAS2","0"
"ALDH1L1","0.0377903703434675"
"ANGPT4","0.0141041693246044"
"ANGPTL5","0.000516670577228928"
"ANGPTL7","0.176199934294715"
"ANLN","0.130859889763024"
"AOC3","0.000773570669795532"
"APOB","0.00472861907866157"
"AQP7P1","0.0219411146401168"
"AQP7P3","0.00486685962828751"
"AQP7","0.000439528789656553"
"AQPEP","0.00583733403836645"
"ASCL1","0"
"ASPA","0.0200858730044989"
"ASPM","0.144380013046142"
"ATOH8","0.392890642743049"
"ATP1A2","0.0137970219143791"
"ATP1A3","0.00120211123971067"
"B3GALT1","0.0409253615113797"
"BMP3","0.00340050332210349"
"BMPR1B","0.00247007162517162"
"BRSK2","0"
"BTNL9","0.331208793357973"
"BUB1","0.279015092335375"
"C12orf39","0.0010321811150991"
"C13orf36","0.00274329688088948"
"C14orf180","0.00630626703424567"
"C14orf53","0.00103355643386503"
"C17orf93","0.0035800374191607"
"C1orf230","0.00257639152349616"
"C2orf40","0.37518675480126"
"C2orf54","0"
"C3orf50","0.00266488176218457"
"C6orf126","0.00140890712025073"
"CA3","0.0308191540020271"
"CA4","0.266869292250285"
"CA9","0.000351623031725242"
"CAMP","0.00445240123574473"
"CAPN9","0.00586096568871212"
"CAPSL","0.00490491264849087"
"CASP14","0"
"CBLN2","0.00042194763807029"
"CCL11","0.170797368287614"
"CCL24","0.00149902450367077"
"CCL7","0"
"CD177","0.00297577863282731"
"CD300LG","0.555099043537956"
"CD36","0.00895960073164433"
"CDC20B","0.00402708360167707"
"CDC20","0.0150470290488973"
"CDC25C","0.056323412502957"
"CDH20","0"
"CDO1","0.0141239917429095"
"CEACAM5","0.00887817908591083"
"CEACAM6","0.00972713241508853"
"CELF3","0"
"CENPA","0.0119558736451311"
"CENPF","0.412009046970303"
"CEP55","0.060206627807051"
"CES1","0.0142695196652992"
"CFD","0.00157216067069459"
"CGA","0.00146660258242566"
"CHRDL1","0.0245863279284905"
"CHRNA6","0.0259113171730979"
"CHRNA9","0.000164090748138446"
"CIB3","0.00256061951299368"
"CIDEA","0.00296380295613507"
"CIDEC","0"
"CILP2","0.187908908542223"
"CKAP2L","0.0694437879396117"
"CLCA4","0.00725103109144443"
"CLDN19","0.0199000488266959"
"CLEC3A","0.00606407440919199"
"CLEC3B","0.0649542696039929"
"CLEC4GP1","0.00231804740395824"
"CLEC4G","0.00259172529705154"
"CLEC5A","0.036968787378683"
"CNGA2","0.000518016073523794"
"CNIH2","0.0187243000904097"
"CNN1","0.0541613377877826"
"CNTNAP2","0.00257398110254023"
"COL10A1","0.8378738824666"
"COL11A1","0.879706152433425"
"COMP","0.105738540268199"
"CPA1","0.138767185795996"
"CPA2","0.000516670577228928"
"CPLX2","0"
"CRHBP","0.00202928207292279"
"CSAG1","0.00230714985387883"
"CSAG2","0"
"CSAG3","0"
"CSF3","0.0014082502420596"
"CSMD3","0.00110761254993451"
"CSN1S1","0.0036423420970557"
"CSN2","0.0081291388570117"
"CSN3","0.00235814156513925"
"CST1","0.0392494936436739"
"CST2","0.017319967750701"
"CST4","0.0643020251199442"
"CST5","0.0026479528059608"
"CXADRP3","0.00310134257738814"
"CXCL10","0"
"CXCL11","0.00299102702836876"
"CXCL2","0.255772850112312"
"CXorf30","0"
"CXorf61","0.00051766724115105"
"CYP1A1","0.000817523548761188"
"CYP2B6","0.00136649500704222"
"CYP2B7P1","0.00230851950797693"
"CYP3A4","0.00184197008696006"
"DACT2","0.0587867141846638"
"DCT","0.00749559152620146"
"DEFB132","0.00282156336498268"
"DEPDC1","0.0328663585168951"
"DES","0.000439528789656553"
"DGAT2","0.00143636859364886"
"DIO1","0.00435980531990357"
"DLGAP5","0.0649959280756349"
"DLK1","0.00152929616609034"
"DLK2","0.0221678440439573"
"DPP6","0.195101926290882"
"DPT","0.00277468100654984"
"DQX1","0.00646719424678855"
"DUSP13","0.00051644632784645"
"E2F8","0.00894508834112121"
"EDN3","0.0139531467698665"
"EIF4E1B","0"
"ELANE","0.00357006611566985"
"EMX1","0"
"ENTHD1","0.00456660976810692"
"EPB42","0.00262169179781102"
"EPHA8","0"
"EPO","0"
"EPR1","0.0035931966919745"
"EPYC","0.228740257184863"
"EXO1","0.0531912509831398"
"FABP4","0.0047824572047607"
"FABP6","0.00101108066575722"
"FAM180B","0.00671956822614813"
"FAM196A","0"
"FAM196B","0.00520735204188097"
"FAM25A","0.00128776764442433"
"FAM83D","0.0505697757909802"
"FBN2","0.00254306235474092"
"FBXO40","0.000791151821381795"
"FEZF2","0.00241848244994047"
"FGF5","0"
"FGFBP2","0.000517482952350356"
"FHL1","0.00885118816529538"
"FIGF","0.610457552942098"
"FMO9P","0.0116597627291484"
"FOSB","0.00486451726671882"
"FOXJ1","0.0044584888981399"
"FOXM1","0.111929972278903"
"FRMD1","0.00275746482774006"
"FXYD1","0.616384047163086"
"G0S2","0.00254486846107402"
"GABRA3","0"
"GABRA4","0.00239883539425592"
"GABRD","0.0861466948992061"
"GABRQ","0.0010150627142257"
"GAL3ST2","0.00807338181525862"
"GATA4","0.00192509339934804"
"GATA5","0.000665572167194207"
"GBX2","0.000351623031725242"
"GDF10","0.0205150966166816"
"GFAP","0.0200742873728025"
"GJB2","0.238470455739166"
"GLP2R","0.000515447398779048"
"GLRA4","0.00605733105719485"
"GLYAT","0.00192608565352769"
"GNAT3","0"
"GNG13","0.00388133914162867"
"GPAM","0.00693227040775915"
"GPD1","0.00291242604996612"
"GPIHBP1","0.0930726638075849"
"GPR112","0"
"GPR115","0.000517092693713591"
"GPR139","0.000351623031725242"
"GPR144","0.0116324819802903"
"GPX3","0.00051644632784645"
"GRIA2","0"
"GRIA4","0.0209489946965507"
"GRM4","0.0150641919160532"
"GYG2","0.000911788446627955"
"GYS2","0"
"HAPLN1","0.0184034171080303"
"HBA1","0.00122053763896935"
"HBA2","0.00097917247029043"
"HBB","0.00724960471229288"
"HBG1","0"
"HBG2","0.000517092693713591"
"HCN2","0.0193005725633826"
"HEPACAM","0.0139413973221024"
"HEPN1","0.00511072527114615"
"HHATL","0.00145220312102525"
"HIF3A","0.166827739817399"
"HIST1H2AM","0.0294376844021091"
"HIST1H2BO","0.0165005369131746"
"HIST1H3G","0.000395575910690897"
"HIST1H3H","0.0135099397957016"
"HIST2H3C","0.00255103694068425"
"HJURP","0.216735399643478"
"HORMAD1","0.000516670577228928"
"HOXB13","0.00101350167967864"
"HOXC12","0"
"HPD","0.000515168627876518"
"HPSE2","0.0589476517696455"
"HS3ST4","0.00914665411808152"
"HSD17B13","0.0333829395715611"
"HSD17B6","0.240375030480425"
"HSPB6","0.00369821042204608"
"HSPB7","0.000395575910690897"
"HTR1D","0.00973164610074934"
"IBSP","0.623749114222027"
"IGFBP6","0.53285763121732"
"IGFL2","0.0117026817028067"
"IGFL3","0.00193237852688372"
"IL17B","0.0135274508957011"
"IL19","0.000517092693713591"
"IL20","0.00182698508662411"
"INHBA","0.406821156438155"
"INSM1","0.000661051299643455"
"IQGAP3","0.329645644630896"
"ITGA7","0.00620935313508261"
"ITIH2","0.00225319650275286"
"ITIH5","0.522600132347814"
"ITLN1","0"
"ITPKA","0.0016497931643625"
"KCNA2","0.00157102662125175"
"KCNA4","0.000439528789656553"
"KCNE1","0.0100802834134426"
"KCNH1","0.00304885299746148"
"KCNIP2","0.00186188961831395"
"KCNJ16","0.0420872511417391"
"KCNJ3","0"
"KIAA0101","0.152212251584699"
"KIAA0408","0.00318436614778328"
"KIAA1199","0.0191875489950922"
"KIAA1239","0"
"KIF14","0.0758893635152699"
"KIF18B","0.102979408442182"
"KIF1A","0.000515713779863688"
"KIF20A","0.229919302182474"
"KIF2C","0.120504986093977"
"KIF4A","0.261039847672566"
"KISS1R","0"
"KLB","0.00187392750637698"
"KLF15","0.034697633984655"
"KLHL1","0"
"KLHL31","0.0126472041146723"
"KLK3","0.00514873930411701"
"KLKP1","0.0107041123948909"
"KREMEN2","0.00214472109401799"
"KRT37","0.00634574531046173"
"KY","0.00605696685965859"
"LALBA","0.00158230364276359"
"LEP","0.00355107773005331"
"LGALS12","0.00328467894053161"
"LGALS9B","0"
"LHCGR","0"
"LHFPL5","0.00266594691324847"
"LHX1","0"
"LHX2","0.00138577656130453"
"LIN28A","0"
"LIPE","0.00180525302882126"
"LOC100133920","0"
"LOC152225","0.00249362921321937"
"LOC283392","0.0170308286690611"
"LOC283867","0.175973492425054"
"LOC388387","0.0147796790227837"
"LOC55908","0.00572388690462975"
"LOC572558","0.168570579582195"
"LOC642597","0.0047931758543656"
"LOC645323","0.000439528789656553"
"LOC647309","0.00297485642804974"
"LOC728264","0.635851626535179"
"LOC729467","0.00128507127944297"
"LOC84740","0.00171904593287896"
"LPL","0.000868715725438833"
"LPPR5","0.0145045646785786"
"LRRC15","0.283633456279198"
"LRRC3B","0.592213650965556"
"LRRN4CL","0.0496338197490452"
"LRTM2","0.00195051266655134"
"LST.3TM12","0"
"LYVE1","0.00736789374210275"
"MAGEA1","0.00077943105365762"
"MAGEA2","0"
"MAGEA3","0"
"MAGEA4","0.00042194763807029"
"MAGEA6","0"
"MAGEB2","0"
"MAGEC2","0"
"MAP1LC3C","0.00555450693157333"
"MARCH4","0.0158623565831564"
"MASP1","0.0651990872153326"
"MELK","0.0339990565284043"
"MESTIT1","0.336094192838588"
"MLXIPL","0.00497128788884866"
"MMP10","0.00195281492149531"
"MMP11","0.738550383754217"
"MMP13","0.10638986759905"
"MMP1","0.0133431540923702"
"MRAP","0.000955975117503002"
"MS4A15","0.000874034393145602"
"MS4A8B","0"
"MSLN","0"
"MSMB","0.000516670577228928"
"MUC21","0.000452086755075311"
"MUC2","0"
"MYBL2","0.00126263927225884"
"MYEOV","0.0119688255522003"
"MYH11","0.300222491118052"
"MYH1","0.00153235428974456"
"MYOC","0.0623159239985341"
"MYOM1","0.184824234520725"
"MYT1","0.00215817942513921"
"NAT1","0.0141132938155488"
"NBPF6","0.00051596857916204"
"NCRNA00052","0.000351623031725242"
"NDC80","0.10249985287688"
"NDST4","0"
"NEIL3","0.0928978017470185"
"NEK2","0.198998359506506"
"NELL2","0.000517092693713591"
"NEURL","0.00042194763807029"
"NKAIN1","0.00439635342090409"
"NKX2.2","0.00329914324851379"
"NMUR1","0.00254063043182577"
"NMU","0"
"NNAT","0.0133773881486072"
"NPR1","0.0386325704659401"
"NPY2R","0.00492744217803729"
"NUF2","0.131704391597686"
"NXNL1","0.00153127525016276"
"NXPH1","0.0024076596034448"
"OR2B6","0.0186850711594828"
"ORM1","0.00148922695789514"
"ORM2","0"
"OVCH2","0.0152471552725543"
"OXTR","0.0690147093892068"
"P2RX6","0.0441393516731759"
"PAK7","0.0279064111357505"
"PAMR1","0.581503087537799"
"PAPPA2","0.0222854843585184"
"PAX7","0.00051644632784645"
"PBK","0.0281358823189523"
"PCK1","0.00249339071366337"
"PCOLCE2","0.000917314523963823"
"PDE1C","0.0214738117305666"
"PDE3B","0.00322735380929194"
"PDK4","0.0451943640756776"
"PENK","0.00771152342675649"
"PFKFB1","0.000939430590420647"
"PGA3","0.0039881382022962"
"PGA4","0.000661878647953396"
"PGA5","0"
"PI16","0.00687281575148217"
"PITX1","0.00693245444375657"
"PKD1L2","0.00606475284599424"
"PKHD1L1","0.00465447923581143"
"PKMYT1","0.10264465905844"
"PLAC1","0.0203546130529614"
"PLAC9","0.0066458258936541"
"PLIN1","0.00373016422813627"
"PLIN4","0.00421859842332081"
"PLK1","0.0455789243118542"
"POTEC","0"
"PPAPDC1A","0.160757966335772"
"PPBP","0.00051644632784645"
"PPP1R1A","0.0023399403746187"
"PPP2R2C","0.0138269664908573"
"PRAME","0.00100900522147243"
"PRG4","0"
"PROK1","0.000395575910690897"
"PROL1","0.00771783641631452"
"PRRT4","0.00136668574595094"
"PSAPL1","0"
"PVALB","0.00279151181293123"
"PYDC1","0.0100271664916968"
"PYGM","0.0320180628262458"
"RAD21L1","0"
"RBP4","0.00193054568379917"
"RDH16","0.000351623031725242"
"RDH5","0.00235249834003745"
"RDM1","0.0788878453594723"
"RERGL","0.408600713835384"
"RHOXF1","0.00810088648438425"
"RIMS4","0.00148736542419777"
"RNF186","0.0029111726049845"
"RPE65","0.000165469661988349"
"RRM2","0.128939111797353"
"RTBDN","0.0071998223960957"
"RXRG","0"
"S100A7A","0.00193818560296632"
"S100A7","0.0019554574379262"
"S100P","0.0114453191866648"
"SAA2","0.00193572066954865"
"SCARA5","0.211081275772836"
"SCN4A","0.0165112856727114"
"SCT","0.0659244736988853"
"SDPR","0.587054080446146"
"SEL1L2","0.00242881640260542"
"SGCG","0.000791151821381795"
"SGK2","0.00483896769743282"
"SGOL1","0.0653769132354102"
"SIX3","0.00136512471140388"
"SKA1","0.0692667024322809"
"SLC19A3","0.00239953739232281"
"SLC22A12","0.00149101689414261"
"SLC24A2","0.133481938390643"
"SLC2A4","0.0242713327314523"
"SLC30A8","0.00142782220051665"
"SLC36A2","0"
"SLC5A8","0"
"SLC6A4","0.00241798311152828"
"SLC7A10","0.00109882197414138"
"SLCO1A2","0.00266809197097792"
"SMR3B","0.000263717273793931"
"SMYD1","0.0138878587394147"
"SORBS1","0.0062464820305759"
"SPC24","0.0266012315904282"
"SPDYC","0.001518338176354"
"SPINK4","0"
"STAB2","0.03030378060681"
"SULT1C3","0.000703246063450484"
"SYT13","0"
"SYT5","0.00051644632784645"
"TCL1B","0.000791151821381795"
"TDO2","0.0252656028564051"
"TEX19","0"
"TFR2","0.00490542404915639"
"TIMP4","0.00448577911796541"
"TLX1","0.00174664919020039"
"TLX3","0.000263717273793931"
"TMEM132C","0.0451666737199834"
"TMEM145","0.00965384057969794"
"TMEM151A","0.00042194763807029"
"TMEM215","0.0101721497660084"
"TNMD","0.114312193608044"
"TNNI3","0.000868508888361348"
"TNNT1","0.00318269757453494"
"TNNT3","0.000351623031725242"
"TNXB","0.146920676812307"
"TOP2A","0.0524379155473551"
"TPX2","0.194436807023115"
"TRDN","0.00296557538077704"
"TRHDE","0"
"TROAP","0.0575969507493274"
"TRPA1","0.00103387977708811"
"TRPM3","0.0385219299418179"
"TSLP","0.760371596682214"
"TUBA3D","0"
"TUSC5","0.00042194763807029"
"TYRP1","0.00042194763807029"
"UBE2C","0.0503379091137456"
"UHRF1","0.128693980424049"
"VGF","0"
"VIT","0.365894531647763"
"VSTM2A","0.000773570669795532"
"WBSCR28","0.00190360815797783"
"WIF1","0.00513657359866136"
"WISP1","0.204724587709575"
"WIT1","0.00152948045489103"
"WT1","0.00387503142518881"
"ZIC5","0.00133419412599012"
"ZNF716","0.00101022500534752"
"AKT1","0.00100900522147243"
"APC","0.000516212535937057"
"ATM","0.000847626785865012"
"BARD1","0.000912461767327003"
"BRCA1","0.00201128374146838"
"BRCA2","0.00552506748836493"
"BRIP1","0.000861476427726843"
"C11orf65","0.000351623031725242"
"CASP8","0"
"CDC73","0.00162416352749278"
"CDH1","0.00192136870907007"
"CHEK2","0.00248792914380944"
"ERBB2","0.00199988291442991"
"ESR1","0.00145437270994441"
"FANCC","0.00112519370152077"
"FANCM","0.00093585822289949"
"HERC2","0.00310089707362048"
"HMMR","0.0756705287242116"
"KRAS","0.0143149136861101"
"MSH2","0.00143901111007975"
"MSH6","0.000517092693713591"
"NBN","0.00049600375413977"
"NQO2","0.00051644632784645"
"PALB2","0.00528295326726944"
"PHB","0.00135906825749348"
"PIK3CA","0"
"PMS2","0.000517092693713591"
"PPM1D","0.00204661858475402"
"PTEN","0"
"RAD51C","0.00103193715832408"
"RAD51","0.0232514528096889"
"RAD54L","0.0123322572669645"
"RB1CC1","0"
"RET","0.00042194763807029"
"SLC22A18","0.00128342406579713"
"TP53","0.000515168627876518"
"XRCC2","0.0023368954683101"
"XRCC3","0"
"ALDH4A1","0.000439528789656553"
"AP2B1","0.000395575910690897"
"BBC3","0.000817523548761188"
"C16orf61","0.00159768715040157"
"C20orf46","0.000351623031725242"
"C9orf30","0.00428026980486705"
"CCNE2","0.236800310718984"
"CDC42BPA","0.00143078006001857"
"CDCA7","0"
"COL4A2","0.000439528789656553"
"DCK","0"
"DIAPH3","0.00931090094931271"
"DTL","0.187076848209144"
"EBF4","0.000516885856636106"
"ECT2","0.122047117934067"
"EGLN1","0"
"ESM1","0.126262400352118"
"EXT1","0.000263717273793931"
"FGF18","0.00230173179748185"
"FLT1","0.00136160408029775"
"GMPS","0.00522611891886643"
"GNAZ","0.0015498316680115"
"GPR126","0.000516212535937057"
"GPR180","0.000938160174007348"
"GSTM3","0.000351623031725242"
"IGFBP5","0.00051644632784645"
"JHDM1D","0.0010353344823021"
"LIN9","0.00388947295778166"
"MCM6","0.00247576669306966"
"MMP9","0.00138492826137589"
"MS4A7","0.00299973262815817"
"MTDH","0"
"NUSAP1","0.0998720965217601"
"ORC6L","0.00534914639712449"
"OXCT1","0.000969215373596107"
"PALM2","0.00148922695789514"
"PECI","0.000517092693713591"
"PITRM1","0.000395575910690897"
"PRC1","0.18631031924154"
"RAB6B","0.00728356949459071"
"RASSF7","0.00198857719462118"
"RECQL5","0"
"RFC4","0.00147142251628205"
"RTN4RL1","0.00264942626783277"
"RUNDC1","0.0164454128923214"
"SCUBE2","0.0049917861693206"
"SERF1A","0.000791151821381795"
"SLC2A3","0"
"STK32B","0.0017468931469754"
"TGFB3","0.00896544498075991"
"TSPYL5","0.00927253017949218"
"UCHL5","0.00686827025709631"
"AKT2","0.00101350167967864"
"AKT3","0.00146389996881529"
"APC2","0"
"ARAF","0.000517482952350356"
"AXIN1","0"
"AXIN2","0.00610678237707277"
"BAK1","0.00327609391670496"
"BAX","0.000939239213589156"
"BRAF","0"
"CCND1","0"
"CDK4","0.000517092693713591"
"CDK6","0.000395575910690897"
"CDKN1A","0"
"CSNK1A1L","0.00155017468868485"
"CSNK1A1","0"
"CTNNB1","0"
"DDB2","0.000351623031725242"
"DLL1","0.00294557526279979"
"DLL3","0.000773570669795532"
"DLL4","0.000351623031725242"
"DVL1","0.000395575910690897"
"DVL2","0"
"DVL3","0.00799845169389608"
"E2F1","0.0023900414562079"
"E2F2","0.00384927158118131"
"E2F3","0.00691518497745084"
"EGFR","0.0212813499731765"
"EGF","0.000514570290329623"
"ESR2","0.00304615597707026"
"FGF10","0.00795585599767753"
"FGF16","0"
"FGF17","0.00774232303502984"
"FGF19","0"
"FGF1","0.111827473747628"
"FGF20","0.001719756282438"
"FGF21","0.000516212535937057"
"FGF22","0"
"FGF23","0.000516212535937057"
"FGF2","0.0209306855157637"
"FGF3","0"
"FGF4","0"
"FGF6","0"
"FGF7","0.00101091621621007"
"FGF8","0.00199797611513527"
"FGF9","0.00147148627771188"
"FGFR1","0.0208645410095228"
"FLT4","0.00348381788650749"
"FOS","0.00142843034648904"
"FRAT1","0.000753477925125518"
"FRAT2","0.000452086755075311"
"FZD10","0.00051766724115105"
"FZD1","0.000937116265946809"
"FZD2","0.00601334161193571"
"FZD3","0.000661051299643455"
"FZD4","0.00502812059416695"
"FZD5","0.00287232064040557"
"FZD6","0.000517291575518865"
"FZD7","0.000351623031725242"
"FZD8","0.000395575910690897"
"FZD9","0.00147411194069428"
"GADD45A","0.000395575910690897"
"GADD45B","0"
"GADD45G","0.00155015058579358"
"GRB2","0.00367192825091517"
"GSK3B","0.00149101689414261"
"HES1","0.00142953806343869"
"HES5","0"
"HEY1","0.0016398419570459"
"HEY2","0.000820453740692231"
"HEYL","0.00731280833635334"
"HRAS","0"
"IGF1R","0.00095619936688548"
"IGF1","0.00562983556362171"
"JAG1","0"
"JAG2","0.00593453684639782"
"JUN","0.00939711995674589"
"KIT","0.00898813410223779"
"LEF1","0.0159573728709548"
"LRP5","0"
"LRP6","0.000968533082921761"
"MAP2K1","0.000938833494706396"
"MAP2K2","0.000515713779863688"
"MAPK1","0.000395575910690897"
"MAPK3","0"
"MTOR","0.000439528789656553"
"MYC","0.00786900145128607"
"NCOA1","0"
"NCOA3","0.00138472142429841"
"NFKB2","0.00252440814200303"
"NOTCH1","0.000263717273793931"
"NOTCH2","0.000395575910690897"
"NOTCH3","0"
"NOTCH4","0.0053934964917745"
"NRAS","0.000395575910690897"
"PGR","0.000263717273793931"
"PIK3CB","0.00051766724115105"
"PIK3CD","0"
"PIK3R1","0.00341945240938124"
"PIK3R2","0.00456263935742243"
"PIK3R3","0.00266325466611674"
"POLK","0"
"RAF1","0.00149080161473543"
"RB1","0"
"RPS6KB1","0.000517291575518865"
"RPS6KB2","0.00275302890946878"
"SHC1","0.00419549268139993"
"SHC2","0.00136343624546522"
"SHC3","0.00129001699764198"
"SHC4","0.000791151821381795"
"SOS1","0.00156472249117733"
"SOS2","0.000351623031725242"
"SP1","0.000779929809730989"
"TCF7L1","0.00988079035619022"
"TCF7L2","0.0106395119516608"
