"","MI"
"CYP2B6","0"
"CYP2B7P1","0"
"CYP3A4","0.290435147913535"
"DACT2","0.398194507220997"
"DCT","0.326736667455895"
"DEFB132","0.329670850154687"
"DEPDC1","0.366804675155905"
"DES","0"
"DGAT2","0"
"DIO1","0"
"DLGAP5","0.400915830035814"
"DLK1","0"
"DLK2","0.353224330048382"
"DPP6","0.43047203883837"
"DPT","0.347472094273136"
"DQX1","0.302571580681277"
"DUSP13","0"
"E2F8","0.329259580114604"
"EDN3","0"
"EIF4E1B","0"
"ELANE","0.369611408838422"
"EMX1","0"
"ENTHD1","0"
"EPB42","0"
"EPHA8","0"
"EPO","0"
"EPR1","0.320303675409819"
"EPYC","0.422384830399484"
"EXO1","0.408299774824567"
"FABP4","0.347908309002403"
"FABP6","0"
"FAM180B","0.323110141265022"
"FAM196A","0"
"FAM196B","0"
"FAM25A","0"
"FAM83D","0.416046042588941"
"FBN2","0"
"FBXO40","0"
"FEZF2","0"
"FGF5","0"
"FGFBP2","0.306633624105784"
"FHL1","0.368980109165145"
"FIGF","0.533783246840154"
"FMO9P","0"
"FOSB","0.340743479919439"
"FOXJ1","0"
"FOXM1","0.393491290146827"
"FRMD1","0.307021233787361"
"FXYD1","0.494432596425164"
"G0S2","0.292503131490976"
"GABRA3","0"
"GABRA4","0"
"GABRD","0.429756749010174"
"GABRQ","0"
"GAL3ST2","0"
"GATA4","0"
"GATA5","0"
"GBX2","0"
"GDF10","0.363528662014656"
"GFAP","0.349230814603559"
"GJB2","0.446432820943187"
"GLP2R","0"
"GLRA4","0.337826272488624"
"GLYAT","0.365519402101902"
"GNAT3","0"
"GNG13","0"
"GPAM","0.314755779243078"
"GPD1","0.32458425571628"
"GPIHBP1","0.440626135672779"
"GPR112","0"
"GPR115","0"
"GPR139","0"
"GPR144","0"
"GPX3","0"
"GRIA2","0"
"GRIA4","0.343939970881897"
"GRM4","0"
"GYG2","0"
"GYS2","0"
"HAPLN1","0.351170010283869"
"HBA1","0"
"HBA2","0.30733533063768"
"HBB","0.308770006997803"
"HBG1","0"
"HBG2","0"
"HCN2","0.404250766937754"
"HEPACAM","0.334253000298156"
"HEPN1","0.372740110216702"
"HHATL","0"
"HIF3A","0.426882866511848"
"HIST1H2AM","0.360423061474628"
"HIST1H2BO","0.367958362816702"
"HIST1H3G","0"
"HIST1H3H","0.330735365224876"
"HIST2H3C","0"
"HJURP","0.404573932891853"
"HORMAD1","0"
"HOXB13","0"
"HOXC12","0"
"HPD","0.318412854572278"
"HPSE2","0.383491732659774"
"HS3ST4","0.297496306612808"
"HSD17B13","0.395824377725232"
"HSD17B6","0.441480952401797"
"HSPB6","0.362461768273291"
"HSPB7","0"
"HTR1D","0.318349818094109"
"IBSP","0.512056668833985"
"IGFBP6","0.461681020794733"
"IGFL2","0.289414399267117"
"IGFL3","0"
"IL17B","0.290778939746139"
"IL19","0"
"IL20","0"
"INHBA","0.480021674754523"
"INSM1","0"
"IQGAP3","0.441369857505243"
"ITGA7","0.359205482149267"
"ITIH2","0"
"ITIH5","0.485493613164044"
"ITLN1","0"
"ITPKA","0"
"KCNA2","0.307417965087514"
"KCNA4","0.305198184540459"
"KCNE1","0.337035259640423"
"KCNH1","0"
"KCNIP2","0.340144596193476"
"KCNJ16","0.423280920666728"
"KCNJ3","0"
"KIAA0101","0.450688811611575"
"KIAA0408","0"
"KIAA1199","0.374807917874714"
"KIAA1239","0"
"KIF14","0.381529030099757"
"KIF18B","0.398732261126479"
"KIF1A","0"
"KIF20A","0.435537973157867"
"KIF2C","0.401719919793848"
"KIF4A","0.423969416156725"
"KISS1R","0"
"KLB","0"
"KLF15","0.382891162672517"
"KLHL1","0"
"KLHL31","0.315660435372232"
"KLK3","0"
"KLKP1","0.288680699812062"
"KREMEN2","0"
"KRT37","0"
"KY","0.293666029205079"
"LALBA","0"
"LEP","0"
"LGALS12","0"
"LGALS9B","0"
"LHCGR","0.324222855547673"
"LHFPL5","0"
"LHX1","0"
"LHX2","0"
"LIN28A","0"
"LIPE","0.310540557439728"
"LOC100133920","0"
"LOC152225","0"
"LOC283392","0.296122162666933"
"LOC283867","0.416354112287103"
"LOC388387","0.324282106368554"
"LOC55908","0.30725180501958"
"LOC572558","0.457731155053472"
"LOC642597","0"
"LOC645323","0"
"LOC647309","0"
"LOC728264","0.475583122787421"
"LOC729467","0"
"LOC84740","0"
"LPL","0.299677174243349"
"LPPR5","0"
"LRRC15","0.453152826867523"
"LRRC3B","0.452810648336203"
"LRRN4CL","0.369396192276144"
"LRTM2","0"
"LST.3TM12","0"
"LYVE1","0.390516242993993"
"MAGEA1","0"
"MAGEA2","0"
"MAGEA3","0"
"MAGEA4","0"
"MAGEA6","0"
"MAGEB2","0"
"MAGEC2","0"
"MAP1LC3C","0.31054061728274"
"MARCH4","0.362082807158797"
"MASP1","0.418865521367508"
"MELK","0.391735473666816"
"MESTIT1","0.462312429558417"
"MLXIPL","0.29300251680128"
"MMP10","0"
"MMP11","0.546102027522915"
"MMP13","0.408415213064854"
"MMP1","0.361951727654321"
"MRAP","0"
"MS4A15","0"
"MS4A8B","0"
"MSLN","0"
"MSMB","0"
"MUC21","0"
"MUC2","0"
"MYBL2","0.312473445349222"
"MYEOV","0"
"MYH11","0.476760771719154"
"MYH1","0.316005753595827"
"MYOC","0.378427963186402"
"MYOM1","0.430496337854765"
"MYT1","0"
"NAT1","0"
"NBPF6","0"
"NCRNA00052","0"
"NDC80","0.393626807038476"
"NDST4","0"
"NEIL3","0.396158579680757"
"NEK2","0.474973432627723"
"NELL2","0"
"NEURL","0"
"NKAIN1","0"
"NKX2.2","0"
"NMUR1","0.333691144039529"
"NMU","0"
"NNAT","0.358279870497266"
"NPR1","0.401386246723274"
"NPY2R","0.296387791850298"
"NUF2","0.434797667673276"
"NXNL1","0"
"NXPH1","0"
"OR2B6","0.354946172943171"
"ORM1","0"
"ORM2","0"
"OVCH2","0.292553723695611"
"OXTR","0.434069630663597"
"P2RX6","0.402505844862682"
"PAK7","0.305772724241335"
"PAMR1","0.513283430241607"
"PAPPA2","0.355940870851741"
"PAX7","0"
"PBK","0.399248244509723"
"PCK1","0"
"PCOLCE2","0"
"PDE1C","0.310076860269268"
"PDE3B","0"
"PDK4","0.355516995820656"
"PENK","0"
"PFKFB1","0"
"PGA3","0.349567703902864"
"PGA4","0"
"PGA5","0"
"PI16","0"
"PITX1","0.301214879316428"
"PKD1L2","0"
"PKHD1L1","0.325255413429797"
"PKMYT1","0.417434908610088"
"PLAC1","0.331055831628714"
"PLAC9","0.328268496340831"
"PLIN1","0.304862749362931"
"PLIN4","0.350133387992031"
"PLK1","0.387423931260827"
"POTEC","0"
"PPAPDC1A","0.433946833323952"
"PPBP","0"
"PPP1R1A","0"
"PPP2R2C","0.332621229841054"
"PRAME","0"
"PRG4","0"
"PROK1","0.286542391901704"
"PROL1","0"
"PRRT4","0"
"PSAPL1","0"
"PVALB","0"
"PYDC1","0"
"PYGM","0.415595072157561"
"RAD21L1","0"
"RBP4","0"
"RDH16","0"
"RDH5","0.350497994013724"
"RDM1","0.354831546736834"
"RERGL","0.477028752748672"
"RHOXF1","0.332410252343186"
"RIMS4","0"
"RNF186","0"
"RPE65","0"
"RRM2","0.378195892649665"
"RTBDN","0"
"RXRG","0"
"S100A7A","0"
"S100A7","0"
"S100P","0"
"SAA2","0.28825513850094"
"SCARA5","0.4942865590463"
"SCN4A","0.367994163917583"
"SCT","0.38073492917982"
"SDPR","0.513166725164631"
"SEL1L2","0"
"SGCG","0"
"SGK2","0"
"SGOL1","0.373622404194777"
"SIX3","0"
"SKA1","0.395642131360843"
"SLC19A3","0"
"SLC22A12","0"
"SLC24A2","0.411013422389103"
"SLC2A4","0.363893175092429"
"SLC30A8","0"
"SLC36A2","0"
"SLC5A8","0"
"SLC6A4","0"
"SLC7A10","0"
"SLCO1A2","0"
"SMR3B","0"
"SMYD1","0"
"SORBS1","0.37396234009797"
"SPC24","0.370319895049443"
"SPDYC","0"
"SPINK4","0"
"STAB2","0.353253254975315"
"SULT1C3","0"
"SYT13","0"
"SYT5","0"
"TCL1B","0"
"TDO2","0.319636567709837"
"TEX19","0"
"TFR2","0.347113414414715"
"TIMP4","0.303604043076878"
"TLX1","0"
"TLX3","0"
"TMEM132C","0.377279075065333"
"TMEM145","0"
"TMEM151A","0"
"TMEM215","0"
"TNMD","0.420684449391705"
"TNNI3","0"
"TNNT1","0"
"TNNT3","0"
"TNXB","0.419288164098374"
"TOP2A","0.388780648305446"
"TPX2","0.412739520898137"
"TRDN","0"
"TRHDE","0"
"TROAP","0.395048008123712"
"TRPA1","0"
"TRPM3","0.408341555758831"
"TSLP","0.537063334253087"
"TUBA3D","0"
"TUSC5","0.292135676623637"
"TYRP1","0"
"UBE2C","0.394917858968638"
"UHRF1","0.413917078541204"
"VGF","0"
"VIT","0.454413656364387"
"VSTM2A","0"
"WBSCR28","0.299733009789958"
"WIF1","0"
"WISP1","0.456343351954438"
"WIT1","0"
"WT1","0.302030635540521"
"ZIC5","0"
"ZNF716","0"
"AKT1","0"
"APC","0"
"ATM","0"
"BARD1","0"
"BRCA1","0"
"BRCA2","0"
"BRIP1","0"
"C11orf65","0"
"CASP8","0"
"CDC73","0"
"CDH1","0"
"CHEK2","0"
"ERBB2","0"
"ESR1","0"
"FANCC","0"
"FANCM","0"
"HERC2","0"
"HMMR","0.413086581301519"
"KRAS","0.289816404689401"
"MSH2","0"
"MSH6","0"
"NBN","0"
"NQO2","0"
"PALB2","0"
"PHB","0"
"PIK3CA","0"
"PMS2","0"
"PPM1D","0"
"PTEN","0"
"RAD51C","0"
"RAD51","0.359920709990451"
"RAD54L","0.365841326173213"
"RB1CC1","0"
"RET","0"
"SLC22A18","0"
"TP53","0"
"XRCC2","0"
"XRCC3","0"
"ALDH4A1","0"
"AP2B1","0"
"BBC3","0"
"C16orf61","0"
"C20orf46","0"
"C9orf30","0"
"CCNE2","0.481046178898933"
"CDC42BPA","0"
"CDCA7","0"
"COL4A2","0"
"DCK","0"
"DIAPH3","0.306572074548517"
"DTL","0.41872138266428"
"EBF4","0"
"ECT2","0.383250215013659"
"EGLN1","0"
"ESM1","0.389220116419832"
"EXT1","0"
"FGF18","0"
"FLT1","0"
"GMPS","0.328510365545908"
"GNAZ","0"
"GPR126","0"
"GPR180","0"
"GSTM3","0"
"IGFBP5","0"
"JHDM1D","0"
"LIN9","0"
"MCM6","0"
"MMP9","0"
"MS4A7","0"
"MTDH","0"
"NUSAP1","0.417999288131149"
"ORC6L","0.307374338601377"
"OXCT1","0"
"PALM2","0"
"PECI","0"
"PITRM1","0"
"PRC1","0.395567576630947"
"RAB6B","0.295720658238835"
"RASSF7","0"
"RECQL5","0"
"RFC4","0.309881737202774"
"RTN4RL1","0"
"RUNDC1","0"
"SCUBE2","0"
"SERF1A","0"
"SLC2A3","0"
"STK32B","0"
"TGFB3","0"
"TSPYL5","0"
"UCHL5","0"
"AKT2","0"
"AKT3","0"
"APC2","0"
"ARAF","0"
"AXIN1","0"
"AXIN2","0"
"BAK1","0"
"BAX","0"
"BRAF","0"
"CCND1","0"
"CDK4","0"
"CDK6","0"
"CDKN1A","0"
"CSNK1A1L","0"
"CSNK1A1","0"
"CTNNB1","0"
"DDB2","0"
"DLL1","0.286300866116141"
"DLL3","0"
"DLL4","0"
"DVL1","0"
"DVL2","0"
"DVL3","0"
"E2F1","0.333949992329448"
"E2F2","0"
"E2F3","0"
"EGFR","0.313561812067822"
"EGF","0"
"ESR2","0"
"FGF10","0.330873966109162"
"FGF16","0"
"FGF17","0.322062657186295"
"FGF19","0"
"FGF1","0.406516436324499"
"FGF20","0"
"FGF21","0"
"FGF22","0"
"FGF23","0"
"FGF2","0.340953629901968"
"FGF3","0"
"FGF4","0"
"FGF6","0"
"FGF7","0"
"FGF8","0"
"FGF9","0.285336670515282"
"FGFR1","0.317428023955435"
"FLT4","0"
"FOS","0"
"FRAT1","0"
"FRAT2","0"
"FZD10","0"
"FZD1","0"
"FZD2","0"
"FZD3","0"
"FZD4","0"
"FZD5","0"
"FZD6","0"
"FZD7","0"
"FZD8","0"
"FZD9","0"
"GADD45A","0"
"GADD45B","0"
"GADD45G","0"
"GRB2","0"
"GSK3B","0"
"HES1","0"
"HES5","0"
"HEY1","0"
"HEY2","0"
"HEYL","0"
"HRAS","0"
"IGF1R","0"
"IGF1","0"
"JAG1","0"
"JAG2","0"
"JUN","0.288304740488615"
"KIT","0.289259213933907"
"LEF1","0"
"LRP5","0"
"LRP6","0"
"MAP2K1","0"
"MAP2K2","0"
"MAPK1","0"
"MAPK3","0"
"MTOR","0"
"MYC","0"
"NCOA1","0"
"NCOA3","0"
"NFKB2","0"
"NOTCH1","0"
"NOTCH2","0"
"NOTCH3","0"
"NOTCH4","0"
"NRAS","0"
"PGR","0"
"PIK3CB","0"
"PIK3CD","0"
"PIK3R1","0.310635357834129"
"PIK3R2","0"
"PIK3R3","0"
"POLK","0"
"RAF1","0"
"RB1","0"
"RPS6KB1","0"
"RPS6KB2","0"
"SHC1","0"
"SHC2","0"
"SHC3","0"
"SHC4","0"
"SOS1","0"
"SOS2","0"
"SP1","0"
"TCF7L1","0.392634869740207"
"TCF7L2","0.304176901210897"
"TCF7","0"
"TNFSF11","0"
"WNT10A","0"
"WNT10B","0"
"WNT11","0"
"WNT16","0"
"WNT1","0"
"WNT2B","0"
"WNT2","0"
"WNT3A","0"
"WNT3","0"
"WNT4","0"
"WNT5A","0"
"WNT5B","0"
"WNT6","0"
"WNT7A","0"
"WNT7B","0"
"WNT8A","0"
"WNT8B","0"
"WNT9A","0"
"WNT9B","0"
"ATF3","0"
"BATF","0"
"BCL11A","0"
"BCL3","0"
"BCLAF1","0"
"BDP1","0"
"BHLHE40","0"
"BRF1","0"
"BRF2","0"
"CCNT2","0"
"CEBPB","0"
"CHD2","0"
"CTBP2","0"
"CTCFL","0"
"CTCF","0"
"E2F4","0"
"E2F6","0"
"EBF1","0.329161513412353"
"EGR1","0.290614138883474"
"ELF1","0"
"ELK4","0"
"EP300","0"
"ESRRA","0"
"ETS1","0"
"FOSL1","0"
"FOSL2","0"
"FOXA1","0.341794927998615"
"FOXA2","0"
"GABPA","0"
"GATA1","0"
"GATA2","0"
"GATA3","0"
"GTF2B","0"
"GTF2F1","0"
"HDAC2","0"
"HMGN3","0"
"HNF4A","0"
"HNF4G","0"
"HSF1","0"
"IRF1","0"
"IRF3","0"
"IRF4","0"
"JUND","0"
"KAT2A","0"
"MAFF","0"
"MAFK","0"
"MAX","0"
"MEF2A","0"
"MEF2C","0"
"MXI1","0"
"NANOG","0"
"NFE2","0"
"NFKB1","0"
"NFYA","0"
"NFYB","0"
"NR2C2","0"
"NR3C1","0.39986349853483"
"NRF1","0"
"PAX5","0"
"PBX3","0"
"POLR3A","0"
"POU2F2","0"
"POU5F1","0"
"PPARGC1A","0.340333378103856"
"PRDM1","0"
"RAD21","0"
"REST","0"
"RFX5","0.355251297515131"
"RXRA","0"
"SETDB1","0"
"SIN3A","0"
"SIRT6","0"
"SIX5","0"
"SMARCA4","0"
"SMARCB1","0"
"SMARCC1","0"
"SMARCC2","0"
"SMC3","0"
"SP2","0"
"SPI1","0"
"SREBF1","0"
"SREBF2","0"
"SRF","0"
"STAT1","0"
"STAT2","0"
"STAT3","0"
"SUZ12","0"
"TAF1","0"
"TAF7","0"
"TAL1","0.343313150683465"
"TBP","0"
"TCF12","0"
"TCF4","0"
"TFAP2A","0"
"TFAP2C","0"
"THAP1","0"
"TRIM28","0"
"USF1","0"
"USF2","0"
"WRNIP1","0"
"XRCC4","0"
"YY1","0"
"ZBTB33","0"
"ZBTB7A","0"
"ZEB1","0"
"ZNF143","0"
"ZNF263","0"
"ZNF274","0"
"ZZZ3","0"
