"","MI"
"A2ML1","0"
"AADACL3","0"
"AADAC","0"
"ABCA10","0.493440988727358"
"ABCA8","0.374718009809693"
"ABCA9","0.411086915275145"
"ABCB5","0.344914006046119"
"ABCC13","0"
"ABCD2","0"
"ACACB","0.388146479596751"
"ACADL","0.370222798416859"
"ACSM2A","0"
"ACSM5","0.345288487950372"
"ACTL8","0"
"ACVR1C","0"
"ADH1A","0.336040611229211"
"ADH1B","0.318391799868692"
"ADH4","0.364062149360689"
"ADIPOQ","0"
"ADRA1A","0.376911823050723"
"AIM1L","0.374542625756852"
"ALAS2","0"
"ALDH1L1","0.373312973626893"
"ANGPT4","0.37792258803615"
"ANGPTL5","0"
"ANGPTL7","0.421785066988948"
"ANLN","0.411625370495443"
"AOC3","0.302794815738227"
"APOB","0.313822438551163"
"AQP7P1","0.364990550824211"
"AQP7P3","0.378705636005287"
"AQP7","0.367608714781643"
"AQPEP","0.30957899651009"
"ASCL1","0"
"ASPA","0.395714501022002"
"ASPM","0.412004826506829"
"ATOH8","0.480039355170673"
"ATP1A2","0.365741685619463"
"ATP1A3","0"
"B3GALT1","0.356771952395274"
"BMP3","0.304730548787056"
"BMPR1B","0"
"BRSK2","0"
"BTNL9","0.465562105124888"
"BUB1","0.430465723889869"
"C12orf39","0"
"C13orf36","0"
"C14orf180","0.356718518513823"
"C14orf53","0"
"C17orf93","0"
"C1orf230","0"
"C2orf40","0.442707281429418"
"C2orf54","0"
"C3orf50","0.299303588077886"
"C6orf126","0"
"CA3","0.349784437870654"
"CA4","0.463322270462006"
"CA9","0"
"CAMP","0"
"CAPN9","0"
"CAPSL","0"
"CASP14","0"
"CBLN2","0"
"CCL11","0.414796447597688"
"CCL24","0"
"CCL7","0"
"CD177","0"
"CD300LG","0.503789002697957"
"CD36","0.351340359653932"
"CDC20B","0"
"CDC20","0.357403499809108"
"CDC25C","0.355694141122557"
"CDH20","0"
"CDO1","0.345424804280093"
"CEACAM5","0"
"CEACAM6","0"
"CELF3","0"
"CENPA","0.35002757038629"
"CENPF","0.452058234219824"
"CEP55","0.402282470974054"
"CES1","0.359854339453455"
"CFD","0"
"CGA","0"
"CHRDL1","0.373529105027828"
"CHRNA6","0.396468094198182"
"CHRNA9","0"
"CIB3","0"
"CIDEA","0.296305497353302"
"CIDEC","0"
"CILP2","0.438926543229681"
"CKAP2L","0.401074077088293"
"CLCA4","0.303277708486862"
"CLDN19","0.329432191258947"
"CLEC3A","0"
"CLEC3B","0.416479380322758"
"CLEC4GP1","0.412461467284165"
"CLEC4G","0"
"CLEC5A","0.372227636054902"
"CNGA2","0"
"CNIH2","0.412761194754887"
"CNN1","0.347022163167851"
"CNTNAP2","0"
"COL10A1","0.570247933884298"
"COL11A1","0.521863763527251"
"COMP","0.429582819006352"
"CPA1","0.43776498450686"
"CPA2","0"
"CPLX2","0"
"CRHBP","0.31097149669027"
"CSAG1","0"
"CSAG2","0"
"CSAG3","0"
"CSF3","0"
"CSMD3","0"
"CSN1S1","0"
"CSN2","0"
"CSN3","0"
"CST1","0.36469124883129"
"CST2","0"
"CST4","0.365929000297103"
"CST5","0"
"CXADRP3","0"
"CXCL10","0"
"CXCL11","0"
"CXCL2","0.427600748068951"
"CXorf30","0"
"CXorf61","0"
"CYP1A1","0"
