"","P_cor"
"GPR112","0.377290505037278"
"GPR115","0.340759006519611"
"GPR139","0.254383406897049"
"GPR144","0"
"GPX3","0"
"GRIA2","0.0711921103184123"
"GRIA4","0"
"GRM4","0.421610292905233"
"GYG2","0"
"GYS2","0"
"HAPLN1","0.473028870555385"
"HBA1","0"
"HBA2","0"
"HBB","0"
"HBG1","0"
"HBG2","0"
"HCN2","0.417269097753097"
"HEPACAM","0"
"HEPN1","0"
"HHATL","0.340768668861283"
"HIF3A","0"
"HIST1H2AM","0.504992160817791"
"HIST1H2BO","0"
"HIST1H3G","0.378344706140855"
"HIST1H3H","0"
"HIST2H3C","0"
"HJURP","0"
"HORMAD1","0.152820965458056"
"HOXB13","0.336268763007736"
"HOXC12","0.224168538560855"
"HPD","0.376693453220031"
"HPSE2","0"
"HS3ST4","0"
"HSD17B13","0"
"HSD17B6","0"
"HSPB6","0"
"HSPB7","0"
"HTR1D","0.468985506752417"
"IBSP","0"
"IGFBP6","0"
"IGFL2","0"
"IGFL3","0.343832292488776"
"IL17B","0"
"IL19","0.302622716648733"
"IL20","0.332570535597794"
"INHBA","0"
"INSM1","0.257045162555219"
"IQGAP3","0"
"ITGA7","0"
"ITIH2","0.373195151934493"
"ITIH5","0"
"ITLN1","0.14064519572944"
"ITPKA","0.383318817147694"
"KCNA2","0"
"KCNA4","0"
"KCNE1","0"
"KCNH1","0.382487746319371"
"KCNIP2","0"
"KCNJ16","0"
"KCNJ3","0.234074433833497"
"KIAA0101","0"
"KIAA0408","0"
"KIAA1199","0"
"KIAA1239","0"
"KIF14","0"
"KIF18B","0"
"KIF1A","0.203423814604806"
"KIF20A","0"
"KIF2C","0"
"KIF4A","0"
"KISS1R","0.307061473262692"
"KLB","0"
"KLF15","0"
"KLHL1","0.165224625108728"
"KLHL31","0"
"KLK3","0.310421918983381"
"KLKP1","0"
"KREMEN2","0.40226148132662"
"KRT37","0.349832729192776"
"KY","0"
"LALBA","0"
"LEP","0"
"LGALS12","0"
"LGALS9B","0.251908423039838"
"LHCGR","0"
"LHFPL5","0.399108273870595"
"LHX1","0.202813480413486"
"LHX2","0.406684605244826"
"LIN28A","0.150291028250602"
"LIPE","0"
"LOC100133920","0"
"LOC152225","0.215753672118868"
"LOC283392","0"
"LOC283867","0"
"LOC388387","0.368977541444622"
"LOC55908","0"
"LOC572558","0"
"LOC642597","0"
"LOC645323","0.218397498649502"
"LOC647309","0.395474904153576"
"LOC728264","0"
"LOC729467","0.412705251197647"
"LOC84740","0.150197024788871"
"LPL","0"
"LPPR5","0.412565037423565"
"LRRC15","0"
"LRRC3B","0"
"LRRN4CL","0"
"LRTM2","0.308055032991698"
"LST.3TM12","0"
"LYVE1","0"
"MAGEA1","0.209879168212468"
"MAGEA2","0"
"MAGEA3","0"
"MAGEA4","0.13110702707365"
"MAGEA6","0"
"MAGEB2","0.0588488965930826"
"MAGEC2","0.167819632909484"
"MAP1LC3C","0"
"MARCH4","0.381327721714371"
"MASP1","0"
"MELK","0.593017711591859"
"MESTIT1","0"
"MLXIPL","0"
"MMP10","0.38225177465266"
"MMP11","0"
"MMP13","0"
"MMP1","0"
"MRAP","0"
"MS4A15","0.349486131705664"
"MS4A8B","0.247406420583537"
"MSLN","0.0894474653091654"
"MSMB","0.269387199290683"
"MUC21","0.181360511820434"
"MUC2","0.204404788576744"
"MYBL2","0"
"MYEOV","0.504860924355501"
"MYH11","0"
"MYH1","0.334738336507257"
"MYOC","0"
"MYOM1","0"
"MYT1","0.323325811596441"
"NAT1","0.381288375944199"
"NBPF6","0.284883608028296"
"NCRNA00052","0.203930028860242"
"NDC80","0"
