"","Relief"
"A2ML1","0.076068122712038"
"AADACL3","0"
"AADAC","0"
"ABCA10","0.112313438587992"
"ABCA8","0.10814824929201"
"ABCA9","0.0857318437784907"
"ABCB5","0.0670985597459792"
"ABCC13","0"
"ABCD2","0.0694914177934839"
"ACACB","0"
"ACADL","0.0658920649095139"
"ACSM2A","0"
"ACSM5","0"
"ACTL8","0"
"ACVR1C","0"
"ADH1A","0"
"ADH1B","0.0807111170345116"
"ADH4","0.0899307103224098"
"ADIPOQ","0.0703152733227257"
"ADRA1A","0"
"AIM1L","0"
"ALAS2","0"
"ALDH1L1","0.0706817016282244"
"ANGPT4","0"
"ANGPTL5","0"
"ANGPTL7","0.109452189421378"
"ANLN","0"
"AOC3","0"
"APOB","0"
"AQP7P1","0"
"AQP7P3","0"
"AQP7","0.0642638213133958"
"AQPEP","0.0692897952982512"
"ASCL1","0"
"ASPA","0.0630673540047015"
"ASPM","0"
"ATOH8","0.0764383317691226"
"ATP1A2","0"
"ATP1A3","0"
"B3GALT1","0"
"BMP3","0"
"BMPR1B","0.107778748903746"
"BRSK2","0"
"BTNL9","0.0798140763450162"
"BUB1","0"
"C12orf39","0"
"C13orf36","0"
"C14orf180","0.0757586588195093"
"C14orf53","0"
"C17orf93","0"
"C1orf230","0"
"C2orf40","0.144199584141274"
"C2orf54","0.127653040109608"
"C3orf50","0"
"C6orf126","0"
"CA3","0"
"CA4","0.103924069895007"
"CA9","0"
"CAMP","0"
"CAPN9","0.125984816996837"
"CAPSL","0"
"CASP14","0.094347771148442"
"CBLN2","0.11265759599925"
"CCL11","0.0725478210865483"
"CCL24","0"
"CCL7","0"
"CD177","0.173861024257459"
"CD300LG","0.125827426126901"
"CD36","0"
"CDC20B","0"
"CDC20","0"
"CDC25C","0"
"CDH20","0"
"CDO1","0"
"CEACAM5","0.508946478986578"
"CEACAM6","0.237328898044111"
"CELF3","0"
"CENPA","0"
"CENPF","0"
"CEP55","0"
"CES1","0.0740843266003052"
"CFD","0.0623033494531508"
"CGA","0"
"CHRDL1","0.110994909233099"
"CHRNA6","0"
"CHRNA9","0"
"CIB3","0"
"CIDEA","0"
"CIDEC","0.070816071656441"
"CILP2","0.212720076595704"
"CKAP2L","0"
"CLCA4","0.14361197476969"
"CLDN19","0.10863904006738"
"CLEC3A","0.196005988689197"
"CLEC3B","0.106134567316144"
"CLEC4GP1","0"
"CLEC4G","0"
"CLEC5A","0.059818198878248"
"CNGA2","0"
"CNIH2","0"
"CNN1","0.0778195004419807"
"CNTNAP2","0.129881372191188"
"COL10A1","0.573365556820915"
"COL11A1","0.578512396694215"
"COMP","0.33412169071624"
"CPA1","0"
"CPA2","0"
"CPLX2","0"
"CRHBP","0"
"CSAG1","0"
"CSAG2","0"
"CSAG3","0"
"CSF3","0"
"CSMD3","0"
"CSN1S1","0.130635266402924"
"CSN2","0"
"CSN3","0.231535628732015"
"CST1","0.512496844198199"
"CST2","0.180448800394645"
"CST4","0.259305868461271"
"CST5","0"
"CXADRP3","0"
"CXCL10","0"
"CXCL11","0"
"CXCL2","0.289870776416275"
"CXorf30","0"
"CXorf61","0"
"CYP1A1","0"
"CYP2B6","0"
