"","Variance"
"A2ML1","0.875114784205693"
"AADACL3","0"
"AADAC","0"
"ABCA10","0.875114784205693"
"ABCA8","0.875114784205693"
"ABCA9","0.875114784205693"
"ABCB5","0"
"ABCC13","0"
"ABCD2","0.875114784205693"
"ACACB","0.875114784205693"
"ACADL","0.875114784205693"
"ACSM2A","0"
"ACSM5","0.875114784205693"
"ACTL8","0"
"ACVR1C","0.875114784205693"
"ADH1A","0.875114784205693"
"ADH1B","0.875114784205693"
"ADH4","0"
"ADIPOQ","0.875114784205693"
"ADRA1A","0"
"AIM1L","0"
"ALAS2","0"
"ALDH1L1","0.875114784205693"
"ANGPT4","0"
"ANGPTL5","0"
"ANGPTL7","0.875114784205693"
"ANLN","0.875114784205693"
"AOC3","0.875114784205693"
"APOB","0.875114784205693"
"AQP7P1","0.875114784205693"
"AQP7P3","0"
"AQP7","0.875114784205693"
"AQPEP","0.875114784205693"
"ASCL1","0"
"ASPA","0"
"ASPM","0.875114784205693"
"ATOH8","0.875114784205693"
"ATP1A2","0.875114784205693"
"ATP1A3","0"
"B3GALT1","0"
"BMP3","0"
"BMPR1B","0.875114784205693"
"BRSK2","0"
"BTNL9","0.875114784205693"
"BUB1","0.875114784205693"
"C12orf39","0.875114784205693"
"C13orf36","0"
"C14orf180","0.875114784205693"
"C14orf53","0"
"C17orf93","0"
"C1orf230","0"
"C2orf40","0.875114784205693"
"C2orf54","0.875114784205693"
"C3orf50","0"
"C6orf126","0"
"CA3","0.875114784205693"
"CA4","0.875114784205693"
"CA9","0"
"CAMP","0"
"CAPN9","0"
"CAPSL","0"
"CASP14","0.875114784205693"
"CBLN2","0.875114784205693"
"CCL11","0"
"CCL24","0"
"CCL7","0"
"CD177","0"
"CD300LG","0.875114784205693"
"CD36","0.875114784205693"
"CDC20B","0"
"CDC20","0.875114784205693"
"CDC25C","0"
"CDH20","0"
"CDO1","0.875114784205693"
"CEACAM5","0.875114784205693"
"CEACAM6","0.875114784205693"
"CELF3","0"
"CENPA","0"
