"","RF_Acc"
"GYG2","0.00254419918401506"
"GYS2","0"
"HAPLN1","0.0337106391881996"
"HBA1","0.00127209959200753"
"HBA2","0.000954074694005649"
"HBB","0.0155832200020923"
"HBG1","0"
"HBG2","0"
"HCN2","0.0228977926561356"
"HEPACAM","0.010812846532064"
"HEPN1","0.010812846532064"
"HHATL","0.000954074694005649"
"HIF3A","0.0976336436865781"
"HIST1H2AM","0.0537462077623182"
"HIST1H2BO","0.0130390208180772"
"HIST1H3G","0.000318024898001883"
"HIST1H3H","0.0225797677581337"
"HIST2H3C","0.00222617428601318"
"HJURP","0.0887289465425254"
"HORMAD1","0.000318024898001883"
"HOXB13","0.00127209959200753"
"HOXC12","0"
"HPD","0.000318024898001883"
"HPSE2","0.0308484151061827"
"HS3ST4","0.0174913693901036"
"HSD17B13","0.0168553195940998"
"HSD17B6","0.160284548592949"
"HSPB6","0.00477037347002825"
"HSPB7","0.000636049796003766"
"HTR1D","0.0101767967360603"
"IBSP","0.360322209436134"
"IGFBP6","0.27699968615964"
"IGFL2","0.0124029710220734"
"IGFL3","0.00222617428601318"
"IL17B","0.0168553195940998"
"IL19","0.000954074694005649"
"IL20","0.000636049796003766"
"INHBA","0.243289046971441"
"INSM1","0"
"IQGAP3","0.121167486138717"
"ITGA7","0.00890469714405273"
"ITIH2","0.00349827387802071"
"ITIH5","0.286222408201695"
"ITLN1","0"
"ITPKA","0.0019081493880113"
"KCNA2","0.00445234857202636"
"KCNA4","0.000636049796003766"
"KCNE1","0.0181274191861073"
"KCNH1","0.00763259755204519"
"KCNIP2","0.00254419918401506"
"KCNJ16","0.0337106391881996"
"KCNJ3","0"
"KIAA0101","0.0655131289883879"
"KIAA0408","0.00413432367402448"
"KIAA1199","0.0416612616382467"
"KIAA1239","0"
"KIF14","0.0225797677581337"
"KIF18B","0.0343466889842034"
"KIF1A","0.00127209959200753"
"KIF20A","0.0604247306203578"
"KIF2C","0.0330745893921958"
"KIF4A","0.0839585730724971"
"KISS1R","0"
"KLB","0.00159012449000942"
"KLF15","0.0165372946960979"
"KLHL1","0"
"KLHL31","0.0203535934721205"
"KLK3","0.00127209959200753"
"KLKP1","0.0165372946960979"
"KREMEN2","0.000636049796003766"
"KRT37","0.013675070614081"
"KY","0.00731457265404331"
"LALBA","0.00159012449000942"
"LEP","0.00572444816403389"
"LGALS12","0.0038162987760226"
"LGALS9B","0"
"LHCGR","0"
"LHFPL5","0.00222617428601318"
"LHX1","0"
"LHX2","0.00318024898001883"
"LIN28A","0"
"LIPE","0.00349827387802071"
"LOC100133920","0"
"LOC152225","0.00349827387802071"
"LOC283392","0.00954074694005649"
"LOC283867","0.149471702060885"
"LOC388387","0.0193995187781149"
"LOC55908","0.00477037347002825"
"LOC572558","0.0779161000104614"
"LOC642597","0.00667852285803954"
"LOC645323","0.000318024898001883"
"LOC647309","0.00127209959200753"
"LOC728264","0.356187885762109"
"LOC729467","0.00636049796003766"
"LOC84740","0.000636049796003766"
"LPL","0.00159012449000942"
"LPPR5","0.0203535934721205"
"LRRC15","0.18413641594309"
"LRRC3B","0.290992781671723"
"LRRN4CL","0.0403891620462391"
"LRTM2","0.00349827387802071"
"LST.3TM12","0"
"LYVE1","0.0114488963280678"
"MAGEA1","0.000636049796003766"
"MAGEA2","0"
"MAGEA3","0"
"MAGEA4","0"
"MAGEA6","0"
"MAGEB2","0"
"MAGEC2","0"
"MAP1LC3C","0.00922272204205461"
"MARCH4","0.00890469714405273"
"MASP1","0.0473857098022806"
"MELK","0.019081493880113"
"MESTIT1","0.137068731038812"
"MLXIPL","0.00985877183805837"
"MMP10","0.00445234857202636"
"MMP11","0.535235903337169"
"MMP13","0.0585165812323465"
"MMP1","0.00954074694005649"
"MRAP","0.0019081493880113"
"MS4A15","0"
"MS4A8B","0"
"MSLN","0"
"MSMB","0"
"MUC21","0"
"MUC2","0"
"MYBL2","0.00413432367402448"
"MYEOV","0.0120849461240716"
"MYH11","0.200673710639188"
"MYH1","0.0019081493880113"
"MYOC","0.035300763678209"
"MYOM1","0.0690114028664086"
"MYT1","0.00604247306203578"
"NAT1","0.0225797677581337"
"NBPF6","0.00159012449000942"
"NCRNA00052","0"
"NDC80","0.0426153363322523"
"NDST4","0"
"NEIL3","0.0295763155141751"
"NEK2","0.0658311538863898"
"NELL2","0.00222617428601318"
