"","S_cor"
"MARCH4","0"
"MASP1","0"
"MELK","0"
"MESTIT1","0"
"MLXIPL","0"
"MMP10","0.433258902692079"
"MMP11","0"
"MMP13","0"
"MMP1","0"
"MRAP","0"
"MS4A15","0.446988646751951"
"MS4A8B","0.251873432761295"
"MSLN","0.137166661670368"
"MSMB","0.275471170823947"
"MUC21","0.235973818539006"
"MUC2","0.277283449865642"
"MYBL2","0.579036186122156"
"MYEOV","0.540485393512521"
"MYH11","0"
"MYH1","0"
"MYOC","0"
"MYOM1","0"
"MYT1","0.359497214023734"
"NAT1","0"
"NBPF6","0.230205930620332"
"NCRNA00052","0.260323779060267"
"NDC80","0"
"NDST4","0.150908376538219"
"NEIL3","0"
"NEK2","0"
"NELL2","0.18879985132853"
"NEURL","0.300816098911991"
"NKAIN1","0.46487813648165"
"NKX2.2","0.234303285092809"
"NMUR1","0"
"NMU","0.413511454746554"
"NNAT","0"
"NPR1","0"
"NPY2R","0"
"NUF2","0"
"NXNL1","0.465176913176809"
"NXPH1","0.124850554778355"
"OR2B6","0.574687458495609"
"ORM1","0.258523043429097"
"ORM2","0"
"OVCH2","0"
"OXTR","0"
"P2RX6","0"
"PAK7","0"
"PAMR1","0"
"PAPPA2","0"
"PAX7","0.253790844387758"
"PBK","0"
"PCK1","0"
"PCOLCE2","0"
"PDE1C","0"
"PDE3B","0"
"PDK4","0"
"PENK","0"
"PFKFB1","0"
"PGA3","0"
"PGA4","0.372904243846271"
"PGA5","0.460059274373571"
"PI16","0"
"PITX1","0.546696638375554"
"PKD1L2","0"
"PKHD1L1","0.568698830907088"
"PKMYT1","0"
"PLAC1","0.556119319096999"
"PLAC9","0"
"PLIN1","0"
"PLIN4","0"
"PLK1","0"
"POTEC","0.242506926325494"
"PPAPDC1A","0"
"PPBP","0.361047171809182"
"PPP1R1A","0"
"PPP2R2C","0.473016984298421"
"PRAME","0.248355452773205"
"PRG4","0.274043573198927"
"PROK1","0.374982586090565"
"PROL1","0"
"PRRT4","0"
"PSAPL1","0.152196681027089"
"PVALB","0.0774916508028212"
"PYDC1","0.311242369648313"
"PYGM","0"
"RAD21L1","0.123653327606921"
"RBP4","0"
"RDH16","0.425683158837723"
"RDH5","0"
"RDM1","0"
"RERGL","0"
"RHOXF1","0"
"RIMS4","0.304028801997559"
"RNF186","0"
"RPE65","0"
"RRM2","0"
"RTBDN","0.474274074705916"
"RXRG","0.516865124417333"
"S100A7A","0.260518731278745"
"S100A7","0"
"S100P","0.510498520296711"
"SAA2","0.543053911563797"
"SCARA5","0"
"SCN4A","0"
"SCT","0"
"SDPR","0"
"SEL1L2","0.411818138384007"
"SGCG","0"
"SGK2","0"
"SGOL1","0"
"SIX3","0.1755430184462"
"SKA1","0"
"SLC19A3","0"
"SLC22A12","0"
"SLC24A2","0"
"SLC2A4","0"
"SLC30A8","0.268537548903959"
"SLC36A2","0.389958832988867"
"SLC5A8","0.0341297530855109"
"SLC6A4","0.12391455973426"
"SLC7A10","0"
"SLCO1A2","0"
"SMR3B","0.321638487730035"
"SMYD1","0"
"SORBS1","0"
"SPC24","0"
"SPDYC","0.267228379351293"
"SPINK4","0.268052285527165"
"STAB2","0"
"SULT1C3","0.357788172944171"
"SYT13","0.306851657646387"
"SYT5","0.355339534698499"
"TCL1B","0.202178427848899"
"TDO2","0"
"TEX19","0.509920172691704"
"TFR2","0"
"TIMP4","0"
"TLX1","0.363032847275298"
"TLX3","0.146736058909131"
"TMEM132C","0"
"TMEM145","0.439425165163887"
"TMEM151A","0.348826644559958"
"TMEM215","0.458668413353012"
"TNMD","0"
"TNNI3","0.263182359909238"
"TNNT1","0.456291145237233"
"TNNT3","0"
"TNXB","0"
"TOP2A","0"
"TPX2","0"
"TRDN","0"
"TRHDE","0"
"TROAP","0"
"TRPA1","0.447216737470081"
"TRPM3","0"
"TSLP","0"
"TUBA3D","0.312449806853474"
"TUSC5","0"
"TYRP1","0.327607352513512"
"UBE2C","0"
"UHRF1","0"
"VGF","0.470624220948032"
"VIT","0"
"VSTM2A","0.147232878671107"
"WBSCR28","0"
"WIF1","0"
"WISP1","0"
"WIT1","0"
"WT1","0.537055073123486"
"ZIC5","0.0378156837733138"
"ZNF716","0.0951732951210046"
"AKT1","0.275542834638858"
"APC","0"
"ATM","0.326517723596533"
"BARD1","0.430823483774632"
"BRCA1","0.415616689169611"
"BRCA2","0"
"BRIP1","0"
"C11orf65","0.0584712406317087"
"CASP8","0.14896233306749"
"CDC73","0.340867797378735"
"CDH1","0.253910633862702"
"CHEK2","0"
"ERBB2","0.268474887850609"
"ESR1","0"
"FANCC","0.342581239024372"
"FANCM","0.137396601959446"
"HERC2","0.454383306402128"
"HMMR","0"
"KRAS","0.527418756547368"
"MSH2","0"
"MSH6","0"
"NBN","0.323947561128079"
"NQO2","0.138895863399378"
"PALB2","0.358216394040801"
"PHB","0.221355242595616"
"PIK3CA","0"
"PMS2","0.236776217406341"
"PPM1D","0.304671342614672"
"PTEN","0.311310928991512"
"RAD51C","0.293533971918038"
"RAD51","0"
"RAD54L","0"
"RB1CC1","0.00974519935955543"
"RET","0.337226733881759"
"SLC22A18","0.329516246476396"
"TP53","0.159242982941307"
"XRCC2","0"
"XRCC3","0.15988552355842"
"ALDH4A1","0.35671713260087"
"AP2B1","0.23527695596641"
"BBC3","0"
"C16orf61","0.34536558169853"
"C20orf46","0.126259231262812"
"C9orf30","0.332514769356259"
"CCNE2","0"
"CDC42BPA","0.150247414301717"
"CDCA7","0.0695014767511151"
"COL4A2","0.12240398756013"
"DCK","0.416259229786725"
"DIAPH3","0"
"DTL","0"
"EBF4","0.0493685374148907"
"ECT2","0"
"EGLN1","0.132898817639651"
"ESM1","0"
"EXT1","0.032019940752825"
"FGF18","0.134398079079583"
"FLT1","0"
"GMPS","0"
"GNAZ","0.314095271665671"
"GPR126","0.129900294759788"
"GPR180","0.0602917279058209"
"GSTM3","0.0367319052783243"
"IGFBP5","0.178090841043304"
"JHDM1D","0.175306498369145"
"LIN9","0"
"MCM6","0"
"MMP9","0.441318313854153"
"MS4A7","0.136539881136628"
"MTDH","0"
"NUSAP1","0"
"ORC6L","0"
"OXCT1","0.359501475275028"
"PALM2","0.160528064175534"
"PECI","0.145749629981922"
"PITRM1","0.118548743857449"
"PRC1","0"
"RAB6B","0.5242060534618"
"RASSF7","0.440889953442744"
"RECQL5","0.117263662623222"
"RFC4","0"
"RTN4RL1","0.0652178726370248"
"RUNDC1","0.174021417134918"
"SCUBE2","0.0255945345816895"
