"","Ridge"
"IQGAP3","0.518246555713601"
"ITGA7","0.386987234053902"
"ITIH2","0.427727671128062"
"ITIH5","0.499821288683082"
"ITLN1","0"
"ITPKA","0"
"KCNA2","0"
"KCNA4","0"
"KCNE1","0.618113855474914"
"KCNH1","0.433667965478991"
"KCNIP2","0.397916705015851"
"KCNJ16","0.548658121709665"
"KCNJ3","0"
"KIAA0101","0.51813144767675"
"KIAA0408","0.409129113324808"
"KIAA1199","0.514898220347379"
"KIAA1239","0"
"KIF14","0.485835002356496"
"KIF18B","0.445446291164926"
"KIF1A","0"
"KIF20A","0.509087239579692"
"KIF2C","0.478140813619994"
"KIF4A","0.535346173962564"
"KISS1R","0"
"KLB","0"
"KLF15","0.453253495059512"
"KLHL1","0"
"KLHL31","0.403914096794314"
"KLK3","0.392324420720759"
"KLKP1","0.588323032011459"
"KREMEN2","0"
"KRT37","0"
"KY","0.634892969038879"
"LALBA","0"
"LEP","0.408742215446675"
"LGALS12","0"
"LGALS9B","0"
"LHCGR","0"
"LHFPL5","0.40440692516094"
"LHX1","0"
"LHX2","0"
"LIN28A","0"
"LIPE","0.375111210321183"
"LOC100133920","0"
"LOC152225","0"
"LOC283392","0.375670807748385"
"LOC283867","0.634032240161355"
"LOC388387","0"
"LOC55908","0"
"LOC572558","0.497725070839988"
"LOC642597","0"
"LOC645323","0"
"LOC647309","0.463913003950251"
"LOC728264","0.646707773325591"
"LOC729467","0"
"LOC84740","0"
"LPL","0.390083599211199"
"LPPR5","0.516807106969279"
"LRRC15","0.701758144883982"
"LRRC3B","0.657247440467577"
"LRRN4CL","0.495877744647612"
"LRTM2","0"
"LST.3TM12","0"
"LYVE1","0.490751674468852"
"MAGEA1","0"
"MAGEA2","0"
"MAGEA3","0"
"MAGEA4","0"
"MAGEA6","0"
"MAGEB2","0"
"MAGEC2","0"
"MAP1LC3C","0.391371427181073"
"MARCH4","0"
"MASP1","0.493680389219114"
"MELK","0.492365576623123"
"MESTIT1","0.461129726370739"
"MLXIPL","0.383190290314468"
"MMP10","0.375446630468897"
"MMP11","0.702005884312887"
"MMP13","0.599864119986408"
"MMP1","0.424104427742884"
"MRAP","0"
"MS4A15","0"
"MS4A8B","0"
"MSLN","0"
"MSMB","0"
"MUC21","0"
"MUC2","0"
"MYBL2","0.422002480729361"
"MYEOV","0.542096073991305"
"MYH11","0.586467949718959"
"MYH1","0"
"MYOC","0.399196508798911"
"MYOM1","0.439667343481552"
"MYT1","0"
"NAT1","0.412276226054512"
"NBPF6","0"
"NCRNA00052","0"
"NDC80","0.516112961095542"
"NDST4","0"
