GSM1045191	GSM1045192	GSM1045193	GSM1045194	GSM1045195	GSM1045196	GSM1045197	GSM1045198	GSM1045199	GSM1045200	GSM1045201	GSM1045202	GSM1045203	GSM1045204	GSM1045205	GSM1045206	GSM1045207	GSM1045208	GSM1045209	GSM1045210	GSM1045211	GSM1045212	GSM1045213	GSM1045214	GSM1045215	GSM1045216	GSM1045217	GSM1045218	GSM1045219	GSM1045220	GSM1045221	GSM1045222	GSM1045223	GSM1045224	GSM1045225	GSM1045226	GSM1045227	GSM1045228	GSM1045229	GSM1045230	GSM1045231	GSM1045232	GSM1045233	GSM1045234	GSM1045235	GSM1045236	GSM1045237	GSM1045238	GSM1045239	GSM1045240	GSM1045241	GSM1045242	GSM1045243	GSM1045244	GSM1045245	GSM1045246	GSM1045247	GSM1045248	GSM1045249	GSM1045250	GSM1045251	GSM1045252	GSM1045253	GSM1045254	GSM1045255	GSM1045256	GSM1045257	GSM1045258	GSM1045259	GSM1045260	GSM1045261	GSM1045262	GSM1045263	GSM1045264	GSM1045265	GSM1045266	GSM1045267	GSM1045268	GSM1045269	GSM1045270	GSM1045271	GSM1045272	GSM1045273	GSM1045274	GSM1045275	GSM1045276	GSM1045277	GSM1045278	GSM1045279	GSM1045280	GSM1045281	GSM1045282	GSM1045283	GSM1045284	GSM1045285	GSM1045286	GSM1045287	GSM1045288	GSM1045289	GSM1045290	GSM1045291	GSM1045292	GSM1045293	GSM1045294	GSM1045295	GSM1045296	GSM1045297	GSM1045298	GSM1045299	GSM1045300	GSM1045301	GSM1045302	GSM1045303	GSM1045304	GSM1045305	GSM1045306	GSM1045307	GSM1045308	GSM1045309	GSM1045310	GSM1045311
Lable	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL10A1	-1.64625377693194	-1.14278866232534	-1.34598959220168	-1.44278453128696	-1.34598959220168	-1.44278453128696	-1.52974294144433	-1.66947306663384	-1.44126312565359	-1.34195462300046	-1.65264747126317	-1.65264747126317	-1.34598959220168	-1.65264747126317	-1.46682395727445	-1.56225250622661	-1.50510220767593	0.0371535843753357	0.991190700441879	-0.016343781354417	1.63635807478899	1.19164856123847	-1.34598959220168	-1.65264747126317	1.7673051799103	-0.893442162542018	-0.396363277334669	-1.04282259402951	-1.22826732258054	-0.287167994578132	0.157168420165094	-0.149803555614489	-0.917649198973172	-0.118753358403852	-0.0719437871874254	1.0843404456291	1.15656963951548	0.76641221168049	0.725873825362251	0.353424055921458	-0.0444116952911988	0.672685344765691	1.13627330758342	1.44065965299533	1.2506300483437	1.20773063556397	0.223437789801304	1.00820699778555	0.600260136074342	0.86943619433069	-0.371182639493416	0.522078202833383	-1.18747386418608	0.277793556490817	1.59752024623378	1.20376032965062	-0.387277362504861	0.0597265425405879	1.26488533716254	-1.08924985631429	0.685053664612894	0.0426830759538797	0.165543682778947	0.81369219789152	0.902484276436864	1.55612407315601	-0.444669123798285	0.701301213116899	0.107294988848182	-0.0646998151742837	-0.388494967431301	-0.53313758072357	1.2478905627384	0.135456768414585	-0.219213579573387	-1.44278453128696	-0.739815459700638	1.87368078698385	0.262427073894657	-1.40929524420544	0.399532365467596	0.987346988872924	0.515935537893281	-0.264229778255362	0.228814830645396	1.51177939493784	1.23485062981752	0.737713992994239	0.10802902529827	-0.172518059101248	-0.340666754254494	-0.637740259972903	0.385605957838115	-0.716669311648954	-0.997431353652177	1.25452778410096	-1.41990370381811	0.767386613470259	-0.991739269357922	0.154183506866671	0.430004520610003	-0.469888545984689	0.166098382359465	-0.631974975967309	-0.00108988645840866	1.17745414494047	-0.117301962959229	-0.0878801732189556	1.23361415310924	-1.30774920100626	0.640874619881401	-1.09738052232471	0.235577642518859	0.649841839557544	0.0934799472362124	1.16366154035072	0.755564431828216	0.913453633385433	1.45044398162171	0.572641591177491	1.41962025107139
COL11A1	-0.858447175090277	-0.244596818903165	-1.28770772553045	-1.55228065371137	-1.8300118713084	-1.90414473718162	-1.63879551515616	-1.5853823321839	-1.74510645375995	-1.70710254444536	-1.52946038338227	-1.89374302896631	-1.6070302255617	-1.32718476280833	-1.7244696514257	-1.90414473718162	-1.81729410563455	0.376251662926123	1.01935692251505	0.221477359668356	1.30931839250714	1.07190711504895	-1.56946322604988	-1.66818238844164	1.26256981300839	-0.682195581368129	0.8960451323024	-1.40638726499117	-1.17504299123808	-0.21099619305347	0.849656901356652	-0.0175680709778292	-0.451518876647779	-0.0259324168955675	0.600747876253626	0.95463735889962	0.800810841984917	0.88761059705455	0.979214621068826	-0.0872555322639103	0.372074048425056	0.805723888677006	0.821528403465112	1.57694297313969	0.627069527585348	-0.223579784190762	-0.421390210904128	0.0399394197802417	-0.27834481757621	-0.404100690593516	-1.56432980762024	0.673637266950485	-0.165766616076822	0.710798136570483	1.70413444641335	0.807605071525041	-0.391067097237946	0.232178914994648	1.18622037572097	-0.93657681300045	0.320597926031058	0.952046132659394	-0.180219773186009	0.820123365051511	1.12410859155362	1.29725741630521	0.151449960680314	0.187634717729756	0.31056258172192	0.220923849628762	-0.148437563829347	-0.281178988443085	1.0557856356281	0.83476878240968	-0.685630140945931	-1.63295491285771	-1.13849232805923	1.42634281693206	0.273569675890668	-1.07327897146655	0.0599847555559704	0.815595996117051	0.384120880823103	0.6906776491645	0.583833722903231	1.23726091037149	0.629268680510365	0.360277542678555	-0.234365591416487	-1.94729096743547	-0.845890524198893	0.639019841664206	0.469797588965741	-0.244484596676869	-0.28410576438689	1.52631081864509	-0.0478131401975249	0.748340469072576	-1.49485246919901	1.2741994036911	0.477953843548681	-0.420621856073956	0.621711958013174	0.0722167718065186	-0.403426937745759	0.944851003868014	0.566757018849499	0.373454992798984	1.18136399679858	0.0267034717818396	1.16162627069606	0.398246957598274	-0.820145224469207	-0.563486816106953	0.391523375165027	0.875699362129718	-0.281434468162837	1.09654816965897	1.44186269112104	0.690230938943793	1.06264453321115
CXCL2	1.29028548962395	0.43725326515046	-0.524829566472978	1.62853268970189	1.3694966533036	1.56623237694848	1.83032768256824	1.91027534051891	0.930023967452783	-0.246445191041688	2.0401246929714	2.17798131844314	0.239161851558062	0.942600422966276	1.51600270355701	2.37790433724003	1.36968890507421	-0.491798109799669	-0.761530013810099	-0.504942538995068	-0.793457748703777	0.340131666260347	-0.103535097622432	-0.524829566472978	0.80046838876657	1.92658915824745	0.200543673118603	1.22095858428275	0.820661611245915	-0.254213651020729	-0.532936542581004	-0.692099046811051	0.11929697348125	-0.793457748703777	-0.504115741311385	-0.825087838533283	-0.303038005058636	-1.20558150456673	0.591856965284765	-0.402188506808043	-0.521502193992916	-0.825087838533283	-0.741057989210452	-0.227949505519554	-0.524829566472978	-0.115683075758965	-0.290523182781258	-1.21852828438829	-0.303038005058636	0.178121784509084	-0.619146245523767	-1.02753310016842	0.714144450588564	-0.899724298506237	-0.793457748703777	0.12604234132718	-0.825087838533283	4.33535582346667	-0.558185452002612	1.15435339543485	-0.800035841607274	1.56588949150179	-1.15513036104801	-1.07379021342685	-0.48968484513099	-0.547438732626445	-0.800538390772742	-0.303573376954344	-0.303038005058636	-0.524829566472978	-0.260452435382422	-0.058732134142186	-0.539170050560126	0.230018680738114	0.684480290386482	-0.398988945081714	-0.479301443748194	0.0208231182334598	1.03036164751778	0.0202105192294709	-0.691512975423556	-1.11451860929866	-0.921688181463361	-1.11141117048903	2.59903861759942	-1.20558150456673	-0.793457748703777	-0.524829566472978	0.507685306313157	1.35077729717099	-0.78106189165557	-0.825087838533283	0.736322083768691	-0.303038005058636	-0.303038005058636	-0.793457748703777	-0.303038005058636	-0.515694525796615	1.5027492695287	1.34814229524255	-0.793457748703777	0.337046738065682	-0.793457748703777	0.690161367201302	-0.618367360451217	0.311546398504793	-0.708198045425151	-0.107960517203133	-0.514459145851197	-0.786902965396665	-1.20558150456673	-0.735359214777902	-0.293941003780477	0.0086741177828751	-1.20558150456673	-0.793457748703777	0.886457065858754	-0.672636762158651	-0.793457748703777	-0.781402931920944	-0.303038005058636
FXYD1	2.78066919318613	-0.479577904253236	-0.479577904253236	-0.479577904253236	2.92731456487293	2.35936886086475	2.87506930847137	1.91078102170209	2.25022037926598	2.43329315787549	1.99993876886522	2.60423859321521	2.15156477470449	1.3540940982577	2.39428742727385	3.40195033812098	2.95619167305078	-0.479577904253236	-0.479577904253236	-0.226430399302765	-0.479577904253236	-0.479577904253236	0.562712761734454	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	0.960045141096919	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	1.68928738271712	-0.479577904253236	-0.479577904253236	1.14632942184785	0.53557820434114	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	1.20594613231437	0.990007252080003	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.448997505568579	-0.479577904253236	-0.478815588071255	-0.479577904253236	-0.478234748746769	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	0.469170864551445	-0.479577904253236	-0.319027100468904	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.316281137093229	-0.479577904253236	0.30303920748766	0.311138639726195	1.55591170783173	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	0.102066871437953	-0.479577904253236	-0.479577904253236	-0.453112432794061	-0.409634619698572	-0.479577904253236	0.0404000774208085	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.409593260119459	-0.479577904253236	-0.445945075179235	-0.479577904253236	-0.479577904253236	-0.479577904253236	-0.479577904253236
IGFBP6	2.05662857763024	0.32790084716902	-1.28996216583951	-0.0413860698175833	2.120620381853	2.63421154856525	2.12542823941915	1.48882114814849	2.84809899235961	2.16060936956569	1.84097327041343	2.73946213379578	2.13915023371308	2.24746669401034	2.36490718135408	1.48148939507789	2.50577680588313	-0.711059888725548	-0.123764526954358	-0.423486594326769	-0.171574231024167	0.160604958409855	0.175228249172579	-0.913273330688904	0.263848826474847	-0.279423819844001	-1.51703603113301	0.096088964668663	-0.171574231024167	-0.762853571930449	-0.171574231024167	-0.4021944525723	0.864052581311245	0.5272148460606	-0.108162051342656	0.0245723037764855	-0.714650913776373	-0.599433302219069	0.112676323635835	-0.412332308266266	-0.320561565145311	-0.785245769400717	0.00403814250859763	-1.32709622597575	-0.171574231024167	1.23696932000728	-0.0245177784914107	-0.241147393501605	0.226488216226553	-0.171574231024167	-0.180993106192389	-0.762438372736226	0.465421440036073	-0.433265477629078	-0.927917565427328	-0.137259145289621	0.602742708805609	-0.298699696920752	0.192605182341966	-1.33265047195525	-0.100248212125458	1.79509213852859	0.41134188372853	-0.218542773226243	-0.944371871877989	-0.459689828620395	-1.03569225550866	0.168140478555846	-0.78706897498632	0.288940237949726	-1.00865795332786	-0.928953555666023	-0.388403982791323	-0.648658033750162	0.550385758097336	-1.52880535038922	-0.367614164576514	-0.171574231024167	0.53857382944155	-0.618597614725834	-0.240144007445562	0.0280195809652315	-0.734134550344691	-1.45727183134665	-1.18639695717465	-0.377735417621536	-0.471366360190465	0.137927736711157	0.60220334250115	0.639728520957492	-1.5513617600139	-1.0529547168862	-0.00814226594004511	-0.740265603755923	0.0152713147785968	-0.254092613941142	0.686271196642516	-0.917882651541572	0.148646086750223	0.750621916661985	-0.831943371273545	0.646396947761887	-0.282397827029807	-0.648023889046131	0.149433759801877	-1.02901024207134	-0.864330559566725	-0.351921373323868	-0.263110896905461	-1.08619884549784	-1.14152414774373	-1.39999042265112	-0.0560629444539151	-0.171574231024167	-0.518107973149309	-0.462716399871876	0.733719454077612	-0.0713260537012167	-0.335364407490255	-0.52782188215861	-0.156075309325219
INHBA	-1.44852947854075	-1.40005589272634	-1.40005589272634	-1.56511150204794	-2.01524320736968	-1.98369835961247	-2.01524320736968	-2.01524320736968	-1.17898195080794	-1.82300095595447	-1.40005589272634	-0.804061194280639	-1.6358028503359	-1.3317918524357	-1.84243528612597	-2.33190174177553	-2.33190174177553	-0.559249541396852	0.971660631366677	-0.7188857460365	0.996789759046811	1.55645492088725	-0.760079643021095	-1.67716300125702	1.76247321470913	0.74048063339842	0.937832740499465	-0.694209636362794	-0.760079643021095	-0.519017543235801	0.630973818063139	-0.46677064380553	-0.856188291955226	-0.245943810429495	1.01949579284331	0.499324803509397	0.600296743445011	0.520680064284588	0.921011470462285	-0.378870126873781	0.730947948827909	0.513431099764881	1.26230010719284	1.18812281032725	1.02016154997585	0.762877280098738	0.155765467883475	1.12529556140864	0.331555928476546	0.500723549732571	0.0768918590969592	0.3148181715573	-0.465887664647897	0.483056036103141	1.13968300501157	1.0667903432126	0.73213382546193	1.05808359243842	0.911917142261613	-1.43619324782882	0.393907136066179	-0.362008898467133	-0.405634199674421	0.346264983406206	0.65229802863258	0.675874858224118	-0.51758081916656	0.511557857859295	-0.13747347424642	-0.118633169584007	0.209257723571425	-0.64414536960193	0.775554746609337	0.566349991308757	-0.327201734661048	-1.66436751493785	-0.657358105570133	1.77064862668352	0.656597487675762	-0.11014898091284	0.732955133321465	0.436367995875641	0.8702367899578	0.324313097292002	0.745353225000663	1.6741008249786	1.41114135167582	1.08818171605506	0.181093206956126	-0.858188853222248	-0.0660396937532083	-0.760079643021095	0.658250803984621	-0.454564071882811	-1.54730958004078	1.0826593262521	-0.882197581000707	-0.183559630792887	-1.2455636119187	0.611651774661308	0.228082538759427	-0.520275907550213	0.411839610717819	0.490393558835974	0.0766967502967526	1.11295691844017	-0.00247785193915775	0.871565974226155	0.437896617278543	-0.947707089436452	0.0821532725021721	0.0799649109854489	0.523486890864368	0.706320989143249	-0.235231511451334	0.890184515806243	0.640016770543705	0.513139311033765	1.5177323372437	0.381445537699076	0.838876984912021
MMP11	-1.37650602938093	-1.43453148493724	-0.727964676270306	-1.76268336321089	-1.64272395298473	-1.44615318815132	-1.44615318815132	-1.8049452778091	-1.41454745747638	-1.50265381766395	-1.32544297150759	-1.99756789679217	-1.2134933272613	-1.44615318815132	-1.44615318815132	-1.57731235284976	-1.12632721443608	-0.3624729740047	0.721883783747686	-0.248769343570978	1.75979626741546	1.28243021357164	-1.02167932363039	-1.1457463803723	2.3667697665203	-0.278006245499565	-0.671666987505177	-0.654793947393437	-1.12736698016025	-0.0916127853928224	-0.117314268160154	-0.671666987505177	-0.981126568429849	0.371383518098573	0.925300265781716	1.26691711529552	0.820719113136759	1.35013098865376	0.784727252883423	-0.0710476127666253	0.456516956198775	0.447590140182998	0.893495544044206	1.52390723882619	1.45243165635324	-0.063143652483174	-0.339909907009179	-0.018240527291947	0.488276130495288	-0.0512621415952821	0.603762194972766	0.0925263163535426	-0.573643075669966	1.13071658030013	1.46484184780553	0.934013761587708	-0.486448715003876	-0.959647432854987	1.31674800994384	-1.07418831360844	-0.00536295827643792	-0.511450112395506	0.851761511933831	0.870204956798176	0.749895037098701	0.675202330040942	-0.573643075669966	0.810995895616062	-0.671666987505177	0.255021729359942	-0.39702214806177	-0.0259607949657297	1.45812896072258	0.779116410283633	-0.338042863448215	-1.2134933272613	-0.671666987505177	1.67478164048339	0.707137097065494	0.0272378369009336	0.875292973380358	0.787146687029943	1.0282050665275	-0.611319094877496	0.222630943466475	1.81898637576793	1.39616439872428	0.848158176853321	1.2152392099001	-1.2134933272613	-0.0283962720395668	-1.078842610812	-0.187207308962275	-0.46294858650019	-0.935378199745263	0.135262993204838	-0.877931340770216	1.06949813254531	-1.2134933272613	-0.612588692261339	-0.0452131981367875	-0.671666987505177	-0.251032228148667	-0.956710282266925	-0.761592613863682	1.0040537631282	-0.0698172953418409	0.85208426690465	0.542911652080427	-1.04861505663268	0.180991316667655	-0.270049328269429	0.373181653604047	1.38947378631581	0.979435940792841	-0.0250000556969695	0.709192096096624	0.696556855488303	1.36757773514249	1.12577565399487	1.49848406044765
PAMR1	2.56727700109221	-0.263637094152107	-0.263637094152107	-0.309653984944476	1.28794129235973	2.4915134975294	1.90049307076083	1.1188908950059	-0.191461119917875	2.5157431313727	1.56961144696391	1.97153355155589	1.08504196874015	3.19808534442227	1.82881824670596	-0.111402881307137	3.0720274702226	-0.309653984944476	-0.309653984944476	-0.205700440901445	-0.297670957337758	-0.459381703962749	1.27541774836275	-0.263637094152107	1.57072466611434	-0.198633448149077	-0.309653984944476	-0.309653984944476	-0.440293158291393	0.443931239378608	-1.14483224751617	-0.263637094152107	-0.263637094152107	-0.309653984944476	-1.32790532152219	-0.597112961860072	-0.773965915109385	-0.378086663131939	1.15922847443101	-0.691164066495808	-0.583498458487511	-1.3190373171378	1.12591703840903	-1.05713092530621	-0.440293158291393	0.186665761598833	0.0649759847288122	-0.309653984944476	0.860493329108882	-0.263637094152107	-0.263637094152107	-0.495027837406557	0.735563301341495	-0.309653984944476	-1.3190373171378	-0.263637094152107	-0.479269451658364	-1.31483546555642	-0.639658668496956	-1.28060043982665	-0.263637094152107	0.107288584652239	1.35688716725698	-0.51337742640541	-0.263637094152107	-0.198847267714206	1.48409616545047	-0.335198357886922	-0.440293158291393	-0.309653984944476	-0.263637094152107	-0.263637094152107	-0.263637094152107	-0.786412986316153	-0.0145357260189922	0.0676803455390146	-0.309653984944476	-0.651141385915809	-0.0684517544945202	-0.309653984944476	-0.263637094152107	-0.0942186435448012	-0.263637094152107	-1.3190373171378	-1.20953984821988	-0.263637094152107	-0.0680674928520745	-0.263637094152107	0.510827885154498	2.89718056273014	-0.782855662211218	-1.23560917866029	1.09028516758554	-0.440293158291393	-0.263637094152107	-1.24262974691463	0.498376775457261	-0.522674050514892	0.244790787933348	-0.295119637355395	-0.626658204356304	-0.263637094152107	-1.23472888933526	-0.436045319442983	1.59649143814637	-1.3190373171378	-1.3190373171378	-0.263637094152107	-1.32790532152219	-0.225642932276603	-0.263637094152107	-0.413867462816224	-0.263637094152107	-0.309653984944476	-0.178142992942788	-0.440293158291393	2.08382174075608	-0.263637094152107	-0.17518426891707	-0.263637094152107	-0.263637094152107
