GSM1116084	GSM1116085	GSM1116087	GSM1116090	GSM1116091	GSM1116092	GSM1116093	GSM1116094	GSM1116099	GSM1116101	GSM1116102	GSM1116106	GSM1116108	GSM1116109	GSM1116110	GSM1116111	GSM1116112	GSM1116113	GSM1116114	GSM1116115	GSM1116118	GSM1116119	GSM1116120	GSM1116124	GSM1116125	GSM1116128	GSM1116130	GSM1116131	GSM1116135	GSM1116136	GSM1116138	GSM1116139	GSM1116142	GSM1116143	GSM1116144	GSM1116145	GSM1116146	GSM1116147	GSM1116148	GSM1116149	GSM1116150	GSM1116169	GSM1116170	GSM1116171	GSM1116172	GSM1116173	GSM1116174	GSM1116175	GSM1116176	GSM1116177	GSM1116178	GSM1116179
Lable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
COL10A1	-0.303516326252792	-0.785892277498537	-1.7160115643599	-0.60045691560404	-0.0888839750393414	-0.318387850362457	-0.804913849251059	0.495545704181793	-0.0815543044280103	-1.57074117484048	0.764799547115698	0.45557419267428	0.734937926106573	-1.6281179237554	0.466807404339154	-1.7824840943868	-0.127401409703568	-0.484823482860447	0.533083353161917	-1.32010013956796	0.342555601979343	0.762864938440081	-0.260193573265258	0.263891916959483	0.106221309896669	0.177614610700096	0.41085976957493	-0.829261835534675	0.822806604018483	-0.958618508528858	-0.33754983726079	-0.846985347272589	0.212874413981509	-1.6095425601329	0.218335002985268	-0.137792130493577	0.328420477301042	-0.622982625328688	-1.42016309280941	0.640079694269851	-1.19467821099306	-1.77003083112166	-1.50367578086461	-1.61258488829214	-1.90842087849634	-1.78786667497622	-1.90875475450972	-1.33927148747601	-1.09283978624125	-1.61512172192646	-1.5352535869892	-1.31976626355459
COL11A1	0.00854975661019502	0.145260507066058	-1.82113934278542	-0.364334123620644	0.125497065243884	0.621053118867646	-0.0646512007724839	0.435233209944563	0.658048321947996	-0.596121729321857	1.33879816994676	0.471139518158678	0.864067230639747	-1.36803385552185	0.907133022599359	-1.90957121710957	0.310990305707096	-0.413397004056049	0.741974893763095	-0.823687145179242	0.320817581874871	0.670380056308113	0.192845212720548	0.989235695513514	0.259948358852309	0.840029876467599	0.704190241904724	-0.0924996869764564	0.988419024363837	-0.851130018045541	0.106550294571387	0.0879301923587608	0.41149530186063	-1.08990016207649	0.103964169264078	0.630853172663765	0.814903627429215	-0.12467925251088	-0.334019290544649	0.84313322683637	-0.136148037689505	-1.70019578999265	-1.91816531984133	-1.77209007353584	-1.92862415503152	-1.95135483536419	-1.06332023839168	-1.71793388736362	-1.75446631012582	-1.96853215187905	-1.65970795662885	-1.66985101230783
CXCL2	-0.0822086991771921	1.07131684987694	-1.42586457584561	0.537178655550758	0.168898936809438	0.00281904761393071	-1.28348578359431	0.962233744364571	-0.790845420205944	0.479640638597144	1.52290712985125	0.173391172954354	-0.57100138604275	0.290238515746761	0.549513853815056	0.258020375246311	0.129782532261702	-0.258193157222333	-0.116552410339858	1.16663786941194	1.61414921864788	0.689452176046774	1.07598129660791	1.39748369987309	-0.649150549996422	-0.536342775522719	-0.543285322292134	0.112502430026274	-0.601172680720325	-0.0579270065428425	-0.809808265882293	0.353129821775586	-0.388305635443759	1.85907695474621	0.565829576768552	0.583719796508875	-0.308950997387672	1.0533921880194	0.623239665858235	-1.37479675662537	-0.447890498220247	0.303577455712661	0.888399685667297	0.672078588064629	2.59437187449693	1.72008333058659	1.2562513380947	2.19218635151178	1.4650984962624	0.369868690740542	1.18099039168436	0.464771484566546
FXYD1	-0.390495570322055	-0.48995264055618	-0.0794031064502	-0.387033411083249	-0.274236844958427	0.0215086525397261	-0.435081780687361	-0.407413600552023	-0.318568484791467	-0.382531149384044	-0.415981717323691	-0.48914528829671	-0.43662375076851	-0.423313348652929	-0.426666406235051	-0.419182032586454	-0.357495955896706	-0.370806358012287	-0.368900715742187	-0.391804790202277	-0.215445598892724	0.109575509815928	0.2713078056859	0.157863903064747	-0.390553757872287	0.327029658476863	-0.412272260996398	-0.426731867229062	-0.417101827665658	0.377689194397638	-0.493669370327252	-0.429052095794565	-0.433001575766565	-0.528647361460491	-0.364682118350364	0.117343547771906	-0.42184411300957	0.0287602759873949	-0.426928250211095	-0.42842657962957	0.383667965183981	3.0667031798274	2.62770720710173	4.3175609471657	3.81683525708761	2.71004259068008	2.97534872596309	2.19671202253297	1.26496205411099	4.12952787859084	3.32518682484571	3.39880862277681
IGFBP6	-1.25393278052162	-0.911594280169623	-1.33879244594046	-0.159170746518831	0.0460526453800135	0.387953544322057	-0.889737548413643	-0.160891978731328	-0.493078126372329	-0.898069479259222	-0.720315786534737	-0.949566413182948	-0.530571815177434	-1.00795411064213	-0.306829131609214	-0.589052867604071	-0.791819856921691	-0.817533315770757	-0.00987864949794187	-0.783441248592384	-0.858084379760095	0.603918592163976	-0.770651618050711	0.110345044530878	-0.945820545113716	-0.375351677722996	-0.995444545002827	-0.871183248631471	-0.309168840481117	0.733681996929856	-0.69203506608059	-0.862221171755554	-0.866556343056861	-1.28791982336161	-0.136473820055734	-0.759326493561026	-0.522875865047659	-0.0690306907531797	-0.865564446527625	-0.772256156553886	-1.08591717784005	1.79585731260453	2.94080347630117	2.67940956742026	2.32174334834884	1.90960450576598	1.6716777018297	1.49717976359529	1.11562050754022	2.40348729172879	2.00707876116251	2.16343082759737
INHBA	0.0459904850731484	0.0207833867584722	-1.99190578673493	-0.224480096703862	0.418142596374223	0.0943597932314035	-0.89255175662546	0.53371177706328	0.261490946659397	-0.604090553912418	1.15786450975727	0.854517398496567	0.536482271120895	-1.60600235016694	0.491362796468317	-1.00280862489928	1.24053957052417	-0.380823913745619	0.999374659223263	-0.522528088378173	0.098445172563981	0.808694306305548	0.156238558127741	0.831166091439531	-0.193934300316259	0.19010894738448	0.0312013239370255	-0.0521641615394763	0.704778791096932	-0.628888674532875	-0.263434122675843	-0.216757894219463	0.278729576351219	0.296755378164174	0.791895437575251	0.512955059679248	-0.00456443506389159	0.147170687101073	-0.373664605291975	0.621883849849262	-0.49560152470393	-2.36283976017258	-2.08239100217854	-2.49582347493807	-2.40318343078298	-2.20846167462884	-2.46330315183322	-1.61526811362629	-2.47889267791932	-2.08532860540154	-2.53283815506972	-2.36510892673405
MMP11	-0.442906013690548	-0.599602511299469	-1.2688676515514	0.342380855835776	0.883927865075155	-0.960542963428865	-0.709188613289076	0.449733534524679	0.398328710978878	-0.857123836370105	0.5559955648513	0.898018079579051	1.09077413866593	-0.497282052076243	1.17401627102247	-1.43194364013234	0.360488826438961	-0.122668398052059	0.614012444093437	-0.851361844838489	-1.3236446635997	-0.157601223538098	-0.401794184063785	0.461470033629091	-0.685611361927975	-0.526340613405137	0.494674662629308	-0.703218115452905	1.27842981276449	-0.719730210878928	-0.916439870279078	-0.433900145228468	0.432323258094424	-1.60793499038576	-0.755272516332125	-0.972215306747261	0.220857767910456	-0.110350487136872	-0.832143177189891	0.655396935810771	-0.779996552368273	-1.11422413909501	-1.36590728763813	-1.96562354611144	-2.22743528937193	-1.51075902325374	-1.31155931740882	-1.22336516031912	-1.79976079057539	-1.46220913218568	-1.18000787818178	-2.1681713820391
PAMR1	-0.406705645176214	-0.488496307598362	-0.528206644337152	-0.760113969138304	-0.479641403849427	1.1506961283782	-0.511082823116785	-0.510620545053422	-0.402551653564582	-0.665574849701145	-0.539600821955267	0.0788816501146469	-0.606403257590615	-0.597398601792985	-0.523225760978376	-0.368909530277267	-0.464685731855822	-0.400617898848821	-0.168313405570695	-0.443518605320684	-0.64862031340539	0.123930972937354	-0.587677740545073	0.0180041868407188	-0.559778282777289	-0.269155132970331	-0.59331623072638	-0.602861296091041	-0.724531580176591	0.048429896560405	0.539212936845127	-0.604020246728769	-0.760739021167641	-0.571107350809015	-0.592560959524265	0.382090482970642	-0.598544530513435	0.442700996940374	-0.729395266279866	-0.700095952404714	-0.597711127807653	2.80817133621285	3.65198506485861	2.09088506679729	2.66138177369834	3.09951720242873	2.10936316741455	3.00917765131368	1.92924400762739	2.82200061236193	2.12239810660967	2.39482963797948
