GSM272671	GSM272673	GSM272675	GSM272677	GSM272679	GSM272681	GSM272683	GSM272685	GSM272687	GSM272689	GSM272691	GSM272693	GSM272695	GSM272697	GSM272699	GSM272701	GSM272703	GSM272705	GSM272707	GSM272709	GSM272711	GSM272713	GSM272715	GSM272717	GSM272719	GSM272721	GSM272723	GSM272725	GSM272727	GSM272729	GSM272731	GSM272733	GSM272735
Lable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
COL10A1	-0.745108210587875	-1.06673833599912	0.758600365410515	-0.834916520231828	-0.568376487524096	-0.725561860893696	-0.461330974511659	-0.491179205478603	-0.129916065192408	0.0990615529507041	-0.801642891760204	-0.279772014565557	0.707739697941178	0.160983608338569	-0.136855102888557	0.0957385906927978	-0.883370435224839	-0.521223886318106	2.07731993991272	-0.669709532665733	-0.790678093137982	-0.320961046222453	-0.539139108868069	-0.178869579166485	-0.505860448108302	1.87926501927802	1.76046734696691	-0.300294259434688	-0.978244940950809	-0.584633887652996	-0.824546247308435	-0.951318521752096	-0.756449055381784
COL11A1	-1.02337144215502	-1.23023221477579	0.9281020818495	-1.14410928354247	0.128435298751296	-0.968028607520405	-0.352617753588711	-0.737969377651986	-0.294313667571706	-0.985421978596833	-0.0740157815127516	-0.66921442590072	0.578941609726746	0.749675257457667	-0.255897828261337	-0.259989458079729	0.464240890648041	1.12024488589593	1.76475532905904	0.494317669651412	-0.820896023121342	-0.67063351221164	0.450970595925385	0.383552178538015	-1.11459264077935	-0.0258275601883307	1.13146990126237	0.992374912623315	-1.7444845109197	-0.567611358963992	-1.4309444157341	-1.0178817720813	-0.81847737254929
CXCL2	1.76218161681217	-0.812742194905055	-0.80347679570146	-0.633907087266145	-0.538832468078899	-0.57929303731585	-0.119617430348326	-0.676501103140731	-0.699664866475415	0.135747863265037	-0.567350162177839	1.05836782397473	-0.226408951504318	-0.774965410039817	-0.585844264158413	-0.701754182314948	-0.79489791480981	-0.803402887032432	-0.68267222377538	-0.84680250993092	-0.798699624088201	-0.271450308428551	-0.824593527639264	-0.343458797649574	-0.169891963119363	-0.401170077354349	-0.0261920233139112	-0.497756966815894	2.04346382374191	2.18663517970428	1.99509891259806	1.72375388866303	2.32852449945849
FXYD1	-0.814593548278674	-0.48146363312291	-0.411272711787649	-0.889247276862832	-0.665943652973828	0.27859747183723	-0.758183412453791	-0.406382936218338	-0.217350337802874	-0.694478049282731	1.05525002838378	-0.5918208657298	-0.883536248596491	-0.768395408433261	-0.631259836548332	-0.862661085381234	-0.807091557707887	-0.897448289446225	-0.412106208487423	-0.785608342845108	0.119953980631857	-0.530661285210417	-0.1856989491766	0.319959141996553	-0.367392682851786	1.74341194773035	-0.912697856409888	-0.436701774322185	1.77194398311735	-0.49873043595902	2.80825691548798	2.1423218432304	-0.099607054933937
IGFBP6	-0.917069386356636	-0.976153000708281	-0.369334679466527	-0.668810217819258	-0.323421232616926	-0.0592884648655759	-0.69623925826811	-0.832506041183302	-0.331715051522063	-0.764864234965101	-0.139224059999962	-0.582568741383365	-0.724020686131932	1.09867309628902	-0.841139792704088	-1.14130941669168	-1.09451211850947	-0.351753772982031	0.133324207831628	-0.45254667322617	-0.643532677139338	-0.164412472813473	-0.196523791996874	-0.399143583777622	-0.773097116288992	0.0030089263288625	-0.935809287612063	-0.100719135920839	2.84395851317135	-0.876295439819398	1.62149388222816	1.50473960082629	-0.388618463249227
INHBA	-0.520294156955704	-0.480033230495242	-0.375277801921186	-0.793391503947248	-0.196858164352652	-0.205493450254222	-0.256281715385081	-0.445285580646785	-0.3312219357822	0.269830366309674	-0.664487179648583	0.203817335998928	-0.437252587602321	-0.404959546941429	0.715090002426598	-0.261446162295093	-0.517938350766331	-0.485316912221804	0.175902392935427	-0.6614812021329	-0.530683098986866	-0.0747406900199537	0.0646660023415258	-0.365462050978683	-0.111664968464308	0.0163193053921577	-0.522221838899731	2.40087552195221	-0.485808126312533	-0.438234305903476	-0.00454264770851358	-0.272177662843228	-0.390302379265416
MMP11	-1.39652274681985	0.245055301299091	1.75402700693615	-0.29795729095997	-0.749724536823414	-0.463624396419891	-0.432162896521546	-1.27192524877415	-0.287788205237419	-0.126874188904526	-1.01292606133421	-0.122957975187461	-0.492759066019552	0.0242899510733215	0.157093074115984	-0.700597708814112	-0.958259850035248	-0.733277330014059	1.0376463336761	-0.460087872030695	-0.502103436781229	0.0850356587383355	-0.324411720854227	0.276858331321993	-1.28831104276542	0.580373036484932	2.46166482590458	-0.207827584269078	-1.95272695289074	-0.923771504508556	-0.78799130656728	-1.00780445275334	-1.03508412563143
PAMR1	-0.566379519057666	-0.350075038653987	-0.883365777626715	-0.960133169568442	-0.39312777723606	-0.82463803602775	-0.593979872931377	-0.535569507629985	-0.524385381605305	0.0477462929959691	-0.23838589070396	-0.435773069979788	-0.697693116789764	-0.270624791431007	-0.500325972861871	-0.587472155763777	-1.01821026375784	-0.751918598017425	0.126722816153863	-0.511035360176942	-0.721303489718108	0.0920247517116979	-0.526616259274661	-0.569667385601999	-0.331523565029986	-0.409704458320404	-0.96371879405501	-0.0915591418987458	2.63788239419066	-0.74194107625089	3.5651425970843	4.25232900653151	2.56086014085024
