GSM662769	GSM662771	GSM662773	GSM662775	GSM662777	GSM662779	GSM662768	GSM662770	GSM662772	GSM662774	GSM662776	GSM662778
Lable	0	0	0	0	0	0	1	1	1	1	1	1
COL10A1	1.80864780595435	1.48789888230538	0.0621791933419749	0.940864698685243	1.64177347959789	1.70347720552243	-0.597772684617643	-0.729100973769889	-0.77728994556494	-0.447245750251144	-0.673453446206406	-0.217681083687959
COL11A1	1.9463680046808	1.7172667937339	0.591696568185645	1.49660244628418	1.37919398598143	1.96352799963218	-0.553748373164775	-0.935337126877349	-0.4307399969838	-0.393940090284887	-0.65327634388276	-0.383399639777733
CXCL2	-1.15753014858557	-1.38720652314458	-1.219191971015	-0.52002017117115	-0.564628009840971	-0.154418645000542	1.75046897596221	1.89004083915222	1.53729002553696	0.568278182611083	1.01515402787769	0.0218196986156443
FXYD1	-1.45139772682918	-1.69599833848502	0.269049648108102	-1.60360353124545	-0.833591295202969	-1.54770592181905	-0.45093968588729	-0.749976168755467	0.0112656380026382	-0.503451243501365	0.193982914760566	-0.538736493807935
IGFBP6	-2.15014504837825	-0.65689293724191	0.0790811594574215	-1.31260095681135	-1.37730976191202	-0.424931157643642	-0.580346435587691	-0.647810481781461	0.606060379098781	0.654405020135827	0.516269039904184	-0.878315919659095
INHBA	1.57065587721452	1.21832513519163	0.898368500875415	1.06900208781981	1.5072862175131	1.61468185390053	-1.32967168005393	-0.888832392958243	-0.499886508777257	-0.239475578668499	-0.862451051324195	-0.81632650893656
MMP11	2.08332653128252	1.09403917803361	0.113166654971373	1.1995697791697	1.63915835047339	2.3381502446474	-0.678571771401273	-0.741289226901653	-0.350970565165393	-0.307806801605229	-0.35955261313143	0.425788384650569
PAMR1	-1.72459684165255	-1.37913824713385	-2.05116451006571	-1.65073026955551	-0.628770576311457	-0.201036023680378	-1.43367530836719	-0.295560573517312	0.376904274172715	0.334367908931053	0.600671489051299	0.369804286131033
