"y.test","Lable"
36.0436533891172,1
23.338723961424,1
3.92343514388121,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
36.0436533891172,1
-18.3574207755758,0
-36.0436533891172,0
-13.3281261773396,0
-36.0436533891172,0
-36.0436533891172,0
36.0436533891172,0
15.5232298535888,0
-36.0436533891172,0
6.70529619093282,0
-15.4999457710529,0
15.2472014065842,0
16.6995929273279,0
-1.32766387471782,0
-36.0436533891172,0
-12.3386277520289,0
25.6186376896744,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-7.68499984565184,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-27.0103293439162,0
-36.0436533891172,0
-36.0436533891172,0
5.7534603447345,0
-10.7354759315558,0
-36.0436533891172,0
7.70155682902917,0
-12.2388486218939,0
-36.0436533891172,0
-36.0436533891172,0
28.0739498058379,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-24.9619809647332,0
8.38150667431551,0
-36.0436533891172,0
2.0354776060222,0
-15.4554937133691,0
36.0436533891172,0
-7.56059077094156,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
23.3194627736527,0
-36.0436533891172,0
-16.9348804397021,0
-29.3274236260434,0
-15.8856453350762,0
-13.904167693305,0
-36.0436533891172,0
-36.0436533891172,0
14.0677766816083,0
23.06683730692,0
-2.36236343046625,0
-36.0436533891172,0
-22.4033328231181,0
-11.2781202684665,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-27.0895582373045,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-9.63506256596272,0
36.0436533891172,0
-36.0436533891172,0
-26.3865114517262,0
12.8523513490608,0
-12.9145477898684,0
7.63915034214872,0
-36.0436533891172,0
21.5949104770801,0
-36.0436533891172,0
36.0436533891172,0
-3.87550309917244,0
-36.0436533891172,0
2.35145352150371,0
-36.0436533891172,0
-1.581821557971,0
36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
1.38575235957292,0
-36.0436533891172,0
-23.610767786053,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
22.5513836896435,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
-36.0436533891172,0
